key_id,en,fr,name_toflit_simplification,id_toflit,datasprint1
00000002,Passenger,Passagers,passagers,passagers~product_simplification,False
00000002,Passenger,Passagers,passagers algériens,passagers_algériens~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises de Montauban,marchandises_de_Montauban~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises,marchandises~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises sèches,marchandises_sèches~product_simplification,False
00000013,Sundries,Diverses marchandises,??? diverses,???_diverses~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises des Indes,marchandises_des_Indes~product_simplification,False
00000013,Sundries,Diverses marchandises,mobilier,mobilier~product_simplification,False
00000013,Sundries,Diverses marchandises,étoffe des Indes,étoffe_des_Indes~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises en articles de moindre importance,marchandises_en_articles_de_moindre_importance~product_simplification,False
00000013,Sundries,Diverses marchandises,marchandises permises,marchandises_permises~product_simplification,False
00000013,Sundries,Diverses marchandises,toile des Indes,toile_des_Indes~product_simplification,False
00000027,Wheat,Blé,grains baillarge,grains_baillarge~product_simplification,False
00000027,Wheat,Blé,grains maïs,grains_maïs~product_simplification,False
00000027,Wheat,Blé,grains blé et froment,grains_blé_et_froment~product_simplification,False
00000027,Wheat,Blé,blé avarié,blé_avarié~product_simplification,False
00000027,Wheat,Blé,blé de Hongrie,blé_de_Hongrie~product_simplification,False
00000027,Wheat,Blé,grains seigle et blé,grains_seigle_et_blé~product_simplification,False
00000027,Wheat,Blé,cribles à blé,cribles_à_blé~product_simplification,False
00000027,Wheat,Blé,grains blé mescli,grains_blé_mescli~product_simplification,False
00000027,Wheat,Blé,grains sarrasin,grains_sarrasin~product_simplification,False
00000027,Wheat,Blé,avoine,avoine~product_simplification,True
00000027,Wheat,Blé,grains blé de Turquie,grains_blé_de_Turquie~product_simplification,False
00000027,Wheat,Blé,blé,blé~product_simplification,False
00000027,Wheat,Blé,moulins à blé,moulins_à_blé~product_simplification,False
00000027,Wheat,Blé,farine de grains blé,farine_de_grains_blé~product_simplification,False
00000027,Wheat,Blé,grains froment,grains_froment~product_simplification,True
00000027,Wheat,Blé,grains seigle,grains_seigle~product_simplification,False
00000027,Wheat,Blé,blé en gerbe,blé_en_gerbe~product_simplification,False
00000027,Wheat,Blé,grains d'Espagne,grains_d'Espagne~product_simplification,False
00000027,Wheat,Blé,grains méteil,grains_méteil~product_simplification,False
00000027,Wheat,Blé,grains blé mercit,grains_blé_mercit~product_simplification,False
00000027,Wheat,Blé,grains orge,grains_orge~product_simplification,False
00000027,Wheat,Blé,grains d'Inde,grains_d'Inde~product_simplification,False
00000027,Wheat,Blé,grains blé et riz,grains_blé_et_riz~product_simplification,False
00000027,Wheat,Blé,grains blé,grains_blé~product_simplification,False
00000027,Wheat,Blé,grains de prune,grains_de_prune~product_simplification,False
00000038,Apple,Pommes,pommes de cannes,pommes_de_cannes~product_simplification,False
00000038,Apple,Pommes,pommes,pommes~product_simplification,False
00000038,Apple,Pommes,pommes de terre,pommes_de_terre~product_simplification,True
00000038,Apple,Pommes,pommes elemy,pommes_elemy~product_simplification,False
00000038,Apple,Pommes,pommes d'api,pommes_d'api~product_simplification,False
00000038,Apple,Pommes,pommes de caille,pommes_de_caille~product_simplification,False
00000038,Apple,Pommes,pommes de paradis,pommes_de_paradis~product_simplification,False
00000038,Apple,Pommes,poires en pommes,poires_en_pommes~product_simplification,False
00000038,Apple,Pommes,pommes sèches,pommes_sèches~product_simplification,False
00000038,Apple,Pommes,pommes fraîches,pommes_fraîches~product_simplification,False
00000038,Apple,Pommes,pommes crues,pommes_crues~product_simplification,False
00000038,Apple,Pommes,poires et pommes,poires_et_pommes~product_simplification,False
00000038,Apple,Pommes,pommes de grenade,pommes_de_grenade~product_simplification,False
00000038,Apple,Pommes,poires,poires~product_simplification,False
00000038,Apple,Pommes,pommes de rainettes,pommes_de_rainettes~product_simplification,False
00000038,Apple,Pommes,pommes et poires,pommes_et_poires~product_simplification,False
00000040,Goods,Marchandises,marchandises de Montauban,marchandises_de_Montauban~product_simplification,False
00000040,Goods,Marchandises,restant de marchandises,restant_de_marchandises~product_simplification,False
00000040,Goods,Marchandises,marchandises prohibées,marchandises_prohibées~product_simplification,False
00000040,Goods,Marchandises,marchandises coloniales,marchandises_coloniales~product_simplification,False
00000040,Goods,Marchandises,marchandises sèches,marchandises_sèches~product_simplification,False
00000040,Goods,Marchandises,marchandises de retour,marchandises_de_retour~product_simplification,False
00000040,Goods,Marchandises,marchandises pour la traite,marchandises_pour_la_traite~product_simplification,False
00000040,Goods,Marchandises,marchandises de Paris,marchandises_de_Paris~product_simplification,False
00000040,Goods,Marchandises,marchandises des Indes,marchandises_des_Indes~product_simplification,False
00000040,Goods,Marchandises,marchandises permises,marchandises_permises~product_simplification,False
00000040,Goods,Marchandises,marchandises à l'estimation,marchandises_à_l'estimation~product_simplification,False
00000040,Goods,Marchandises,marchandises,marchandises~product_simplification,False
00000040,Goods,Marchandises,marchandises anglaises,marchandises_anglaises~product_simplification,False
00000040,Goods,Marchandises,marchandises de foire,marchandises_de_foire~product_simplification,False
00000040,Goods,Marchandises,marchandises de Chine,marchandises_de_Chine~product_simplification,False
00000040,Goods,Marchandises,marchandises des Îles,marchandises_des_Îles~product_simplification,False
00000040,Goods,Marchandises,marchandises de l'Inde,marchandises_de_l'Inde~product_simplification,False
00000040,Goods,Marchandises,marchandises de Flandre,marchandises_de_Flandre~product_simplification,False
00000040,Goods,Marchandises,marchandises de la Côte,marchandises_de_la_Côte~product_simplification,False
00000040,Goods,Marchandises,marchandises blanches ???,marchandises_blanches_???~product_simplification,False
00000040,Goods,Marchandises,marchandises blanches,marchandises_blanches~product_simplification,False
00000040,Goods,Marchandises,marchandises de détail,marchandises_de_détail~product_simplification,False
00000040,Goods,Marchandises,marchandises susceptibles,marchandises_susceptibles~product_simplification,False
00000040,Goods,Marchandises,marchandises de modes,marchandises_de_modes~product_simplification,False
00000040,Goods,Marchandises,marchandises des prises,marchandises_des_prises~product_simplification,False
00000043,Wine,Vin,vin de Tonnerre,vin_de_Tonnerre~product_simplification,False
00000043,Wine,Vin,vin d'Aiguillon,vin_d'Aiguillon~product_simplification,False
00000043,Wine,Vin,vin de Mâcon,vin_de_Mâcon~product_simplification,False
00000043,Wine,Vin,vin Gailleau,vin_Gailleau~product_simplification,False
00000043,Wine,Vin,vin de Dauphiné,vin_de_Dauphiné~product_simplification,False
00000043,Wine,Vin,vin de Charente,vin_de_Charente~product_simplification,False
00000043,Wine,Vin,vin divers,vin_divers~product_simplification,True
00000043,Wine,Vin,vin de Touraine,vin_de_Touraine~product_simplification,False
00000043,Wine,Vin,coffres à vin,coffres_à_vin~product_simplification,False
00000043,Wine,Vin,vin vendange,vin_vendange~product_simplification,False
00000043,Wine,Vin,vin de Fleurance,vin_de_Fleurance~product_simplification,False
00000043,Wine,Vin,vin de Bourg,vin_de_Bourg~product_simplification,False
00000043,Wine,Vin,vin de Coulanges,vin_de_Coulanges~product_simplification,False
00000043,Wine,Vin,vin de Rivesaltes,vin_de_Rivesaltes~product_simplification,False
00000043,Wine,Vin,vin de Suisse,vin_de_Suisse~product_simplification,False
00000043,Wine,Vin,vin de rivière,vin_de_rivière~product_simplification,False
00000043,Wine,Vin,vin d'Inde,vin_d'Inde~product_simplification,False
00000043,Wine,Vin,vin de haule,vin_de_haule~product_simplification,False
00000043,Wine,Vin,vin d'Aument,vin_d'Aument~product_simplification,False
00000043,Wine,Vin,vin de Fronton,vin_de_Fronton~product_simplification,False
00000043,Wine,Vin,pierres de vin,pierres_de_vin~product_simplification,False
00000043,Wine,Vin,vin de Gilly,vin_de_Gilly~product_simplification,False
00000043,Wine,Vin,vin de Querée,vin_de_Querée~product_simplification,False
00000043,Wine,Vin,vin Rancio,vin_Rancio~product_simplification,False
00000043,Wine,Vin,vin de Gascogne,vin_de_Gascogne~product_simplification,False
00000043,Wine,Vin,vin d'Auxonne,vin_d'Auxonne~product_simplification,False
00000043,Wine,Vin,vin de Gaillac,vin_de_Gaillac~product_simplification,False
