similarity_function, threshold, matching_level, min_match, max_match, moy_match
jaccard,0.6,words,0,41,2.7903225806451615
jaccard,0.6,chars,4,4742,471.1532258064516
dice,0.6,words,0,408,31.322580645161292
dice,0.6,chars,10,14752,3362.717741935484
overlap,0.6,words,0,1036,72.96774193548387
overlap,0.6,chars,10,20641,11608.282258064517
jaccard,0.7,words,0,6,1.5
jaccard,0.7,chars,1,1345,86.21774193548387
dice,0.7,words,0,41,2.7903225806451615
dice,0.7,chars,4,7696,1038.3306451612902
overlap,0.7,words,0,1036,72.62096774193549
overlap,0.7,chars,10,19105,7226.322580645161
jaccard,0.8,words,0,6,1.467741935483871
jaccard,0.8,chars,1,281,16.346774193548388
dice,0.8,words,0,41,2.7580645161290325
dice,0.8,chars,2,2448,185.09677419354838
overlap,0.8,words,0,1036,72.58064516129032
overlap,0.8,chars,10,13972,4017.782258064516
jaccard,0.85,words,0,6,1.467741935483871
jaccard,0.85,chars,0,55,4.75
dice,0.85,words,0,6,1.5
dice,0.85,chars,1,722,40.17741935483871
overlap,0.85,words,0,1036,72.58064516129032
overlap,0.85,chars,10,9121,2316.8709677419356
jaccard,0.9,words,0,6,1.467741935483871
jaccard,0.9,chars,0,23,3.0806451612903225
dice,0.9,words,0,6,1.467741935483871
dice,0.9,chars,1,127,10.483870967741936
overlap,0.9,words,0,1036,72.58064516129032
overlap,0.9,chars,10,7649,1703.475806451613
jaccard,0.92,words,0,6,1.467741935483871
jaccard,0.92,chars,0,10,1.9838709677419355
dice,0.92,words,0,6,1.467741935483871
dice,0.92,chars,0,55,4.75
overlap,0.92,words,0,1036,72.58064516129032
overlap,0.92,chars,10,7649,1569.3709677419354
jaccard,0.94,words,0,6,1.467741935483871
jaccard,0.94,chars,0,7,1.7983870967741935
dice,0.94,words,0,6,1.467741935483871
dice,0.94,chars,0,27,3.5403225806451615
overlap,0.94,words,0,1036,72.58064516129032
overlap,0.94,chars,10,7649,1562.782258064516
jaccard,0.95,words,0,6,1.467741935483871
jaccard,0.95,chars,0,7,1.7983870967741935
dice,0.95,words,0,6,1.467741935483871
dice,0.95,chars,0,23,2.6129032258064515
overlap,0.95,words,0,1036,72.58064516129032
overlap,0.95,chars,10,7649,1562.782258064516
jaccard,0.96,words,0,6,1.467741935483871
jaccard,0.96,chars,0,7,1.7983870967741935
dice,0.96,words,0,6,1.467741935483871
dice,0.96,chars,0,10,1.9838709677419355
overlap,0.96,words,0,1036,72.58064516129032
overlap,0.96,chars,10,7649,1562.782258064516
jaccard,0.97,words,0,6,1.467741935483871
jaccard,0.97,chars,0,7,1.7983870967741935
dice,0.97,words,0,6,1.467741935483871
dice,0.97,chars,0,7,1.7983870967741935
overlap,0.97,words,0,1036,72.58064516129032
overlap,0.97,chars,10,7649,1562.782258064516
jaccard,0.98,words,0,6,1.467741935483871
jaccard,0.98,chars,0,7,1.7983870967741935
dice,0.98,words,0,6,1.467741935483871
dice,0.98,chars,0,7,1.7983870967741935
overlap,0.98,words,0,1036,72.58064516129032
overlap,0.98,chars,10,7649,1562.782258064516
jaccard,0.99,words,0,6,1.467741935483871
jaccard,0.99,chars,0,7,1.7983870967741935
dice,0.99,words,0,6,1.467741935483871
dice,0.99,chars,0,7,1.7983870967741935
overlap,0.99,words,0,1036,72.58064516129032
overlap,0.99,chars,10,7649,1562.782258064516
jaccard,1,words,0,6,1.467741935483871
jaccard,1,chars,0,7,1.7983870967741935
dice,1,words,0,6,1.467741935483871
dice,1,chars,0,7,1.7983870967741935
overlap,1,words,0,1036,72.58064516129032
overlap,1,chars,10,7649,1562.782258064516
jaccard,0.55,words,0,41,2.7903225806451615
jaccard,0.55,words,0,41,2.7903225806451615
