navigo_product_id,name_navigo,proposals_toflitorthographic
00000013,Diverses marchandises,marchandises diverses,diverses marchandises,diverses marchandises sèches,divers marchandises,marchandises des Indes diverses
00000066,Soude,soudes
00000084,Biscuits,biscuit
00000208,Voiles,olive,voile,olivier,viole
00000213,Graines de lin,graine de lin,graine lin,grains de lin,grains ails
00000257,Bois merrain,bois merrains,bois de merrains,bois en merrains,bois et merrains,bois merrains ???,bois merrains merrains
00000282,Marchandises d'un naufrage
00000328,Pêche des moules,pêche des moules
00000363,Sardines pressées de Bretagne
00000444,Froment,froment
00000512,Grain,grains,graine,graine de l ???,graine ?,graine de,graine ???
00000522,Résine,résines,résiné
00000548,Fourrage,fourrages
00000553,Pierre de taille,papier à lettres,pierres de taille,papier à lettre,papier tellière,pierres taillées,papier à litière,pierres et plâtre,plâtre en pierres
00000580,Vieux cordages,cordage vieux,cordage de vieux
00000581,Poudre à canon,poudre à canons,poudre de canons
00000601,Bois de chauffage,bois de chauffage
00001274,Echalotte,échalotes
00001276,Méture
00001282,Tuilles,tuiles
00001285,Terre de Broue [pour verrerie]
00001287,Gréments de navire
00001288,Meule de moulin,meules à moulins,meules de moulins,meules à moulin,meules moulins,meules pour moulins
00001289,Verge de moulin,verges à moulins
00001290,Pêche des moules et du poisson frais
00001293,Hardes de mer,hardes de mer
00001295,Etoupe,étoupes
00001296,Marchandises pour la traite négrière
00001297,Verre cassé,verres cassés,verrerie cassée,verres d'Asace
00001298,Turbe,turbit,turbie,brut
00001299,Copeaux et pièces de bois
