id,name,nbItems,classification
douelles_pour_pipes~product_simplification,bois de merrains à pipes en douelles,,orthographic
douelles_pour_pipes~product_simplification,bois merraing à pipes en douelles,,orthographic
douelles_pour_pipes~product_simplification,bois merrains à pipes douelles,,orthographic
toile~product_simplification,toile,,simplification
toile~product_simplification,cotonnades toile diverse et Nankin,,orthographic
toile~product_simplification,toile,,orthographic
toile~product_simplification,toile assortie,,orthographic
toile~product_simplification,toile de différente qualité,,orthographic
toile~product_simplification,toile de toute espèce,,orthographic
grains_orge~product_simplification,grains orge,,simplification
grains_orge~product_simplification,blé orge,,orthographic
grains_orge~product_simplification,graine comestible en orge,,orthographic
grains_orge~product_simplification,graine comestible orge,,orthographic
grains_orge~product_simplification,graine orge,,orthographic
grains_orge~product_simplification,grains blé orge,,orthographic
douelles_pour_barriques~product_simplification,douelles pour barriques,,simplification
douelles_pour_barriques~product_simplification,bois de merrains à barriques en douelles,,orthographic
douelles_pour_barriques~product_simplification,bois merrains à barriques douelles,,orthographic
douelles_pour_barriques~product_simplification,bois merrains à barriques douelles en douelles,,orthographic
douelles_pour_barriques~product_simplification,bois merrains à barriques douves,,orthographic
douelles_pour_barriques~product_simplification,bois merrains à barriques en douelles,,orthographic
alun~product_simplification,alun,,simplification
alun~product_simplification,alun,,orthographic
alun~product_simplification,droguerie alun,,orthographic
alun~product_simplification,droguerie pour peintures et teinture alun,,orthographic
alun~product_simplification,droguerie pour teinture et peintures alun,,orthographic
alun~product_simplification,drogues alun,,orthographic
raze_de_Maroc~product_simplification,raze de Maroc,,simplification
raze_de_Maroc~product_simplification,drap draperie raz du Maroc,,orthographic
raze_de_Maroc~product_simplification,drap du Maroc,,orthographic
raze_de_Maroc~product_simplification,drap du Maroc aune,,orthographic
raze_de_Maroc~product_simplification,draperie petite Maroc,,orthographic
raze_de_Maroc~product_simplification,drap petit dit raz Maroc,,orthographic
toile_guingans~product_simplification,toile guingans,,simplification
toile_guingans~product_simplification,guingans,,orthographic
toile_guingans~product_simplification,guingans de fil,,orthographic
toile_guingans~product_simplification,guingans divers,,orthographic
toile_guingans~product_simplification,guingans pièces,,orthographic
toile_guingans~product_simplification,toile de Bretagne guingans,,orthographic
ouvrages_de_terre_cuite~product_simplification,ouvrages de terre cuite,,simplification
ouvrages_de_terre_cuite~product_simplification,industrie générale ouvrages de terre cuite,,orthographic
ouvrages_de_terre_cuite~product_simplification,industrie générale ouvrages en terre cuite,,orthographic
ouvrages_de_terre_cuite~product_simplification,ouvrages de terre,,orthographic
ouvrages_de_terre_cuite~product_simplification,ouvrages de terre cuite,,orthographic
ouvrages_de_terre_cuite~product_simplification,ouvrages de terre cuite divers,,orthographic
toile_de_coton_et_de_fil~product_simplification,toile de coton et de fil,,simplification
toile_de_coton_et_de_fil~product_simplification,objets manufacturés toile de fil et coton,,orthographic
toile_de_coton_et_de_fil~product_simplification,toile cotonade fil et coton,,orthographic
toile_de_coton_et_de_fil~product_simplification,toile coton et fil,,orthographic
toile_de_coton_et_de_fil~product_simplification,toile coton fi et coton,,orthographic
toile_de_coton_et_de_fil~product_simplification,toile coton fil et coton,,orthographic
mercure~product_simplification,mercure,,simplification
mercure~product_simplification,argent vif,,orthographic
mercure~product_simplification,argent vif et mercure,,orthographic
mercure~product_simplification,argent vif ou mercure,,orthographic
mercure~product_simplification,droguerie chimique et métallique argent vif,,orthographic
mercure~product_simplification,droguerie métallique et chimique argent vif,,orthographic
cochenille~product_simplification,cochenille,,simplification
cochenille~product_simplification,cochenille,,orthographic
cochenille~product_simplification,cochenille colorant,,orthographic
cochenille~product_simplification,droguerie cochenille,,orthographic
cochenille~product_simplification,droguerie pour peintures et teinture cochenille,,orthographic
cochenille~product_simplification,droguerie pour teinture et peintures cochenille,,orthographic
mouchoirs_de_coton~product_simplification,mouchoirs de coton,,simplification
mouchoirs_de_coton~product_simplification,cotonnades mouchoirs,,orthographic
mouchoirs_de_coton~product_simplification,cotonnades mouchoirs divers,,orthographic
mouchoirs_de_coton~product_simplification,cotonnades mouchoirs idem,,orthographic
mouchoirs_de_coton~product_simplification,mouchoirs coton,,orthographic
mouchoirs_de_coton~product_simplification,mouchoirs de coton,,orthographic
mercerie~product_simplification,mercerie,,simplification
mercerie~product_simplification,divers en mercerie etc.,,orthographic
mercerie~product_simplification,drogues métalliques mercerie,,orthographic
mercerie~product_simplification,industrie étrangère mercerie,,orthographic
mercerie~product_simplification,industrie générale mercerie,,orthographic
mercerie~product_simplification,mercerie,,orthographic
safran~product_simplification,safran,,simplification
safran~product_simplification,droguerie médicinale safran,,orthographic
safran~product_simplification,droguerie safran,,orthographic
safran~product_simplification,droguerie safranum,,orthographic
safran~product_simplification,drogues médicinales en plantes safran,,orthographic
safran~product_simplification,drogues médicinales safran,,orthographic
siamoise_de_coton_et_de_fil~product_simplification,siamoise de coton et de fil,,simplification
siamoise_de_coton_et_de_fil~product_simplification,étoffe de fil et coton dite siamoise,,orthographic
siamoise_de_coton_et_de_fil~product_simplification,étoffe de fil et coton dite siamoise aune,,orthographic
siamoise_de_coton_et_de_fil~product_simplification,siamoise fil et coton,,orthographic
siamoise_de_coton_et_de_fil~product_simplification,toile de fil en coton siamoise,,orthographic
siamoise_de_coton_et_de_fil~product_simplification,toile de fil et coton siamoise,,orthographic
linge_de_table~product_simplification,linge de table,,simplification
linge_de_table~product_simplification,linge à tables,,orthographic
linge_de_table~product_simplification,linge de table,,orthographic
linge_de_table~product_simplification,linge de tables,,orthographic
linge_de_table~product_simplification,linge de tables en serviettes nappes etc.,,orthographic
linge_de_table~product_simplification,lingerie en linge de table,,orthographic
acétates_de_plomb~product_simplification,acétates de plomb,,simplification
acétates_de_plomb~product_simplification,acétates de plomb,,orthographic
acétates_de_plomb~product_simplification,acétates de plomb sel de Saturne,,orthographic
acétates_de_plomb~product_simplification,droguerie sel de Saturne,,orthographic
acétates_de_plomb~product_simplification,drogues chimiques et métalliques sel de Glauber,,orthographic
acétates_de_plomb~product_simplification,drogues chimiques et métalliques sel de Saturne,,orthographic
azur~product_simplification,azur,,simplification
azur~product_simplification,azur,,orthographic
azur~product_simplification,cobalt vitrifié en poudre (azur),,orthographic
azur~product_simplification,droguerie azur,,orthographic
azur~product_simplification,droguerie pour les peintures et la teinture azur,,orthographic
azur~product_simplification,droguerie pour peintures et teinture azur,,orthographic
bois~product_simplification,bois,,simplification
bois~product_simplification,bois ???,,orthographic
bois~product_simplification,bois,,orthographic
bois~product_simplification,bois de bois,,orthographic
bois~product_simplification,bois de construction et autre,,orthographic
bois~product_simplification,bois de toute espèce,,orthographic
canefice~product_simplification,canefice,,simplification
canefice~product_simplification,canefice,,orthographic
canefice~product_simplification,canefice ou casse,,orthographic
canefice~product_simplification,casse drogues,,orthographic
canefice~product_simplification,casse en bâtons,,orthographic
canefice~product_simplification,casse en bâtons ou fistula,,orthographic
grains_riz~product_simplification,grains riz,,simplification
grains_riz~product_simplification,comestibles riz,,orthographic
grains_riz~product_simplification,graine comestible riz,,orthographic
grains_riz~product_simplification,graine de riz,,orthographic
grains_riz~product_simplification,graine diverse riz,,orthographic
grains_riz~product_simplification,graine riz,,orthographic
noix_de_Galle~product_simplification,noix de Galle,,simplification
noix_de_Galle~product_simplification,droguerie médicinale pour peintures et teinture noix de galle,,orthographic
noix_de_Galle~product_simplification,droguerie pour peintures et teinture noix de galle,,orthographic
noix_de_Galle~product_simplification,drogues noix de galle,,orthographic
noix_de_Galle~product_simplification,drogues noix de Galles,,orthographic
noix_de_Galle~product_simplification,drogues pour les peintures et la teinture noix de galle,,orthographic
étoffe~product_simplification,étoffe,,simplification
étoffe~product_simplification,étoffe,,orthographic
étoffe~product_simplification,étoffe de toute espèce,,orthographic
étoffe~product_simplification,étoffe de toute sorte,,orthographic
étoffe~product_simplification,étoffe diverse,,orthographic
étoffe~product_simplification,étoffe mélangée,,orthographic
quincaillerie~product_simplification,quincaillerie,,simplification
quincaillerie~product_simplification,industrie étrangère quincaillerie diverse,,orthographic
quincaillerie~product_simplification,industrie générale quincaillerie,,orthographic
quincaillerie~product_simplification,mercerie de quincaille,,orthographic
quincaillerie~product_simplification,mercerie de quincaillerie,,orthographic
quincaillerie~product_simplification,mercerie en quincaillerie,,orthographic
morue_sèche~product_simplification,morue sèche,,simplification
morue_sèche~product_simplification,morue salée sèche,,orthographic
morue_sèche~product_simplification,morue sèche,,orthographic
morue_sèche~product_simplification,morue séchée,,orthographic
morue_sèche~product_simplification,morue seiche en baril,,orthographic
morue_sèche~product_simplification,morue seiche en nombre,,orthographic
toile_de_chanvre_et_de_lin~product_simplification,toile de chanvre et de lin,,simplification
toile_de_chanvre_et_de_lin~product_simplification,objets manufacturés toile de lin et chanvre,,orthographic
toile_de_chanvre_et_de_lin~product_simplification,objets manufacturés toile de lin et de chanvre,,orthographic
toile_de_chanvre_et_de_lin~product_simplification,objets manufacturés toile diverse de lin et de chanvre,,orthographic
toile_de_chanvre_et_de_lin~product_simplification,objets manufacturés toile diverse en lin et chanvre,,orthographic
toile_de_chanvre_et_de_lin~product_simplification,toile de lin et de chanvre,,orthographic
bœuf~product_simplification,bœuf,,simplification
bœuf~product_simplification,bestiaux bœuf,,orthographic
bœuf~product_simplification,bestiaux bœufs,,orthographic
bœuf~product_simplification,bestiaux divers bœufs,,orthographic
bœuf~product_simplification,bestiaux en bœuf,,orthographic
bœuf~product_simplification,bestiaux en bœufs,,orthographic
planches_de_chêne~product_simplification,planches de chêne,,simplification
planches_de_chêne~product_simplification,bois à bâtir planches de chêne,,orthographic
planches_de_chêne~product_simplification,bois de chêne en planches,,orthographic
planches_de_chêne~product_simplification,bois de chêne planches,,orthographic
planches_de_chêne~product_simplification,bois divers planches de chêne,,orthographic
planches_de_chêne~product_simplification,bois en planches de chêne,,orthographic
mâts~product_simplification,mâts,,simplification
mâts~product_simplification,bois de construction en mâts,,orthographic
mâts~product_simplification,bois en mâts,,orthographic
mâts~product_simplification,bois en mâtures,,orthographic
mâts~product_simplification,bois mâts,,orthographic
mâts~product_simplification,mât,,orthographic
grains_divers~product_simplification,grains divers,,simplification
grains_divers~product_simplification,comestibles grains comestibles divers,,orthographic
grains_divers~product_simplification,graine comestible diverse,,orthographic
grains_divers~product_simplification,grains,,orthographic
grains_divers~product_simplification,grains comestibles,,orthographic
grains_divers~product_simplification,grains comestibles divers,,orthographic
étoffe_de_coton~product_simplification,étoffe de coton,,simplification
étoffe_de_coton~product_simplification,cotonnades étoffe,,orthographic
étoffe_de_coton~product_simplification,cotonnades étoffe idem,,orthographic
étoffe_de_coton~product_simplification,étoffe coton,,orthographic
étoffe_de_coton~product_simplification,étoffe de coton,,orthographic
étoffe_de_coton~product_simplification,étoffe de coton dite printanière nankinet etc,,orthographic
dents_d'éléphant~product_simplification,dents d'éléphant,,simplification
dents_d'éléphant~product_simplification,dents à éléphant,,orthographic
dents_d'éléphant~product_simplification,dents d'éléphant,,orthographic
dents_d'éléphant~product_simplification,dents de morphil,,orthographic
dents_d'éléphant~product_simplification,ivoire brut en dents d'éléphant,,orthographic
dents_d'éléphant~product_simplification,ivoire dents d'éléphant,,orthographic
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,étoffe de soie dorure d'argent et d'or,,simplification
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,dorure fine sur soie,,orthographic
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,étoffe de soie en dorure,,orthographic
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,étoffe de soie en dorure aune,,orthographic
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,étoffe de soie et dorure,,orthographic
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,étoffe de soie or et argent,,orthographic
sel_d'ammoniac~product_simplification,sel d'ammoniac,,simplification
sel_d'ammoniac~product_simplification,droguerie chimiques sel ammoniac,,orthographic
sel_d'ammoniac~product_simplification,droguerie métallique et chimique sel amoniac,,orthographic
sel_d'ammoniac~product_simplification,droguerie métallique sel ammoniac,,orthographic
sel_d'ammoniac~product_simplification,droguerie sel ammoniac,,orthographic
sel_d'ammoniac~product_simplification,drogues chimiques et métalliques sel ammoniac,,orthographic
tartre~product_simplification,tartre,,simplification
tartre~product_simplification,droguerie pour la peinture et la teinture tartre,,orthographic
tartre~product_simplification,droguerie pour peintures et teinture tartre,,orthographic
tartre~product_simplification,drogues médicinales tartre,,orthographic
tartre~product_simplification,drogues pour la teinture tartre,,orthographic
tartre~product_simplification,drogues pour les peintures et la teinture tartre,,orthographic
garance~product_simplification,garance,,simplification
garance~product_simplification,droguerie pour peintures et teinture garance,,orthographic
garance~product_simplification,drogues garance,,orthographic
garance~product_simplification,drogues pour la teinture garance,,orthographic
garance~product_simplification,drogues pour les peintures et la teinture garance,,orthographic
garance~product_simplification,drogues pour les peintures et teinture garance,,orthographic
étoffe_de_laine~product_simplification,étoffe de laine,,simplification
étoffe_de_laine~product_simplification,étoffe de laine,,orthographic
étoffe_de_laine~product_simplification,étoffe de laine aune,,orthographic
étoffe_de_laine~product_simplification,étoffe de laine diverse,,orthographic
étoffe_de_laine~product_simplification,étoffe diverse de laine,,orthographic
étoffe_de_laine~product_simplification,étoffe diverse de laine serge escot panne etc,,orthographic
morue_verte~product_simplification,morue verte,,simplification
morue_verte~product_simplification,morue salée verte,,orthographic
morue_verte~product_simplification,moruë verte,,orthographic
morue_verte~product_simplification,morue verte,,orthographic
morue_verte~product_simplification,morue verte en baril,,orthographic
morue_verte~product_simplification,morue verte en livres,,orthographic
peaux~product_simplification,peaux,,simplification
peaux~product_simplification,peaux,,orthographic
peaux~product_simplification,peaux de loup d'ours de tigre de chien de mer etc. apprêtées,,orthographic
peaux~product_simplification,peaux de pelleterie sans distinction,,orthographic
peaux~product_simplification,peaux de renard loutre fouine etc.,,orthographic
peaux~product_simplification,peaux de toute sorte,,orthographic
quincaillerie_d'acier_et_de_fer~product_simplification,quincaillerie d'acier et de fer,,simplification
quincaillerie_d'acier_et_de_fer~product_simplification,quincaille d'acier et de fer,,orthographic
quincaillerie_d'acier_et_de_fer~product_simplification,quincaille de fer en acier,,orthographic
quincaillerie_d'acier_et_de_fer~product_simplification,quincaille de fer et acier,,orthographic
quincaillerie_d'acier_et_de_fer~product_simplification,quincaille de fer et d'acier,,orthographic
quincaillerie_d'acier_et_de_fer~product_simplification,quincaille fer et acier,,orthographic
grains_maïs~product_simplification,grains maïs,,simplification
grains_maïs~product_simplification,blé de maïs,,orthographic
grains_maïs~product_simplification,blé maïs,,orthographic
grains_maïs~product_simplification,comestibles blé maïs,,orthographic
grains_maïs~product_simplification,graine comestible des Indes,,orthographic
grains_maïs~product_simplification,grains blé d'Inde,,orthographic
grains_seigle~product_simplification,grains seigle,,simplification
grains_seigle~product_simplification,blé de seigle,,orthographic
grains_seigle~product_simplification,blé seigle,,orthographic
grains_seigle~product_simplification,graine comestible en seigle,,orthographic
grains_seigle~product_simplification,graine comestible seigle,,orthographic
grains_seigle~product_simplification,graine seigle,,orthographic
ruban_de_soie~product_simplification,ruban de soie,,simplification
ruban_de_soie~product_simplification,bonneterie de soie ruban,,orthographic
ruban_de_soie~product_simplification,étoffe ruban de soie,,orthographic
ruban_de_soie~product_simplification,objets manufacturés rubannerie de soie,,orthographic
ruban_de_soie~product_simplification,passements ruban de soie,,orthographic
ruban_de_soie~product_simplification,ruban de soie,,orthographic
cordeillat~product_simplification,cordeillat,,simplification
cordeillat~product_simplification,cordeillat,,orthographic
cordeillat~product_simplification,cordeillat de laine,,orthographic
cordeillat~product_simplification,cordeillaterie,,orthographic
cordeillat~product_simplification,cordelats,,orthographic
cordeillat~product_simplification,drap cordeillat,,orthographic
Nankin~product_simplification,Nankin,,simplification
Nankin~product_simplification,cotonnades en Nankin,,orthographic
Nankin~product_simplification,Nankin,,orthographic
Nankin~product_simplification,tissus de coton Nankin,,orthographic
Nankin~product_simplification,toile de coton en Nankin,,orthographic
Nankin~product_simplification,toile de coton façon de Nankin,,orthographic
couperose~product_simplification,couperose,,simplification
couperose~product_simplification,couperose,,orthographic
couperose~product_simplification,droguerie pour les peintures et la teinture couperose,,orthographic
couperose~product_simplification,droguerie pour peintures et teinture couperose,,orthographic
couperose~product_simplification,drogues couperose,,orthographic
couperose~product_simplification,drogues pour la teinture couperose,,orthographic
serge_de_laine~product_simplification,serge de laine,,simplification
serge_de_laine~product_simplification,drap draperie serge,,orthographic
serge_de_laine~product_simplification,drap draperie serge de laine,,orthographic
serge_de_laine~product_simplification,drap serge de laine,,orthographic
serge_de_laine~product_simplification,étoffe de laine serge,,orthographic
serge_de_laine~product_simplification,étoffe serge de laine,,orthographic
drogues_pour_peintures_et_teinture~product_simplification,drogues pour peintures et teinture,,simplification
drogues_pour_peintures_et_teinture~product_simplification,droguerie diverse pour les peintures et la teinture,,orthographic
drogues_pour_peintures_et_teinture~product_simplification,droguerie pour les peintures et la teinture,,orthographic
drogues_pour_peintures_et_teinture~product_simplification,droguerie pour peintures et teinture,,orthographic
drogues_pour_peintures_et_teinture~product_simplification,drogues peintures et teinture,,orthographic
drogues_pour_peintures_et_teinture~product_simplification,drogues pour les peintures et la teinture,,orthographic
jus_de_réglisse~product_simplification,jus de réglisse,,simplification
jus_de_réglisse~product_simplification,droguerie jus de réglisse,,orthographic
jus_de_réglisse~product_simplification,droguerie médicinale jus de réglisse,,orthographic
jus_de_réglisse~product_simplification,drogues composées pour ma médecine jus de réglisse,,orthographic
jus_de_réglisse~product_simplification,drogues composées pour médecine jus de réglisse,,orthographic
jus_de_réglisse~product_simplification,drogues jus de réglisse,,orthographic
mine_de_plomb~product_simplification,mine de plomb,,simplification
mine_de_plomb~product_simplification,droguerie pour peintures et teinture mine de plomb,,orthographic
mine_de_plomb~product_simplification,droguerie pour teinture et peintures mine de plomb,,orthographic
mine_de_plomb~product_simplification,drogues mine de plomb,,orthographic
mine_de_plomb~product_simplification,drogues pour les peintures et la teinture mine de plomb,,orthographic
mine_de_plomb~product_simplification,drogues pour peintures et teinture mine de plomb,,orthographic
étoffe_de_coton_et_de_soie~product_simplification,étoffe de coton et de soie,,simplification
étoffe_de_coton_et_de_soie~product_simplification,étoffe coton et soie,,orthographic
étoffe_de_coton_et_de_soie~product_simplification,étoffe de coton et soie,,orthographic
étoffe_de_coton_et_de_soie~product_simplification,étoffe de soie et coton,,orthographic
étoffe_de_coton_et_de_soie~product_simplification,étoffe de soie et coton aune,,orthographic
étoffe_de_coton_et_de_soie~product_simplification,étoffe mélangée coton et soie,,orthographic
haricots~product_simplification,haricots,,simplification
haricots~product_simplification,fayoles,,orthographic
haricots~product_simplification,fayots,,orthographic
haricots~product_simplification,fèverolles,,orthographic
haricots~product_simplification,grains haricots,,orthographic
haricots~product_simplification,haricots,,orthographic
grains_millet~product_simplification,grains millet,,simplification
grains_millet~product_simplification,graine de millet,,orthographic
grains_millet~product_simplification,graine de mitte,,orthographic
grains_millet~product_simplification,graine millet,,orthographic
grains_millet~product_simplification,grains comestibles blé millet,,orthographic
grains_millet~product_simplification,grains comestibles en millet,,orthographic
passementerie~product_simplification,passementerie,,simplification
passementerie~product_simplification,industrie générale passementerie,,orthographic
passementerie~product_simplification,ouvrages de passementerie,,orthographic
passementerie~product_simplification,ouvrages de passementerie diverse,,orthographic
passementerie~product_simplification,ouvrages de passementier ???,,orthographic
passementerie~product_simplification,ouvrages de passementier,,orthographic
antimoine~product_simplification,antimoine,,simplification
antimoine~product_simplification,antimoine,,orthographic
antimoine~product_simplification,antimoine cru et préparé,,orthographic
antimoine~product_simplification,droguerie métallique et chimique antimoine,,orthographic
antimoine~product_simplification,drogues chimiques et métalliques antimoine,,orthographic
antimoine~product_simplification,drogues médicinales antimoine,,orthographic
bayette~product_simplification,bayette,,simplification
bayette~product_simplification,bayette,,orthographic
bayette~product_simplification,drap draperie bay ???,,orthographic
bayette~product_simplification,drap draperie bayette,,orthographic
bayette~product_simplification,étoffe bayette,,orthographic
bayette~product_simplification,étoffe bayette de laine,,orthographic
vaches~product_simplification,vaches,,simplification
vaches~product_simplification,bestiaux divers vaches,,orthographic
vaches~product_simplification,bestiaux en vaches,,orthographic
vaches~product_simplification,bestiaux en vaches grasses,,orthographic
vaches~product_simplification,bestiaux et bêtes de somme vaches,,orthographic
vaches~product_simplification,bestiaux et bêtes vaches,,orthographic
callemande_de_laine~product_simplification,callemande de laine,,simplification
callemande_de_laine~product_simplification,callemande de laine,,orthographic
callemande_de_laine~product_simplification,étoffe calmande de laine,,orthographic
callemande_de_laine~product_simplification,étoffe de laine callemande,,orthographic
callemande_de_laine~product_simplification,étoffe de laine callemande étroite,,orthographic
callemande_de_laine~product_simplification,étoffe de laine callemande large,,orthographic
chemises~product_simplification,chemises,,simplification
chemises~product_simplification,chemises,,orthographic
chemises~product_simplification,chemises diverses,,orthographic
chemises~product_simplification,linge de corps chemises,,orthographic
chemises~product_simplification,linge de corps en chemises,,orthographic
chemises~product_simplification,linge de corps en chemises diverses,,orthographic
toile_de_coton~product_simplification,toile de coton,,simplification
toile_de_coton~product_simplification,cotonnades en toile et Nankin,,orthographic
toile_de_coton~product_simplification,cotonnades toile de coton étrangère diverse,,orthographic
toile_de_coton~product_simplification,objets manufacturés toile de coton,,orthographic
toile_de_coton~product_simplification,toile coton,,orthographic
toile_de_coton~product_simplification,toile de coton,,orthographic
rocou~product_simplification,rocou,,simplification
rocou~product_simplification,denrées coloniales rocou,,orthographic
rocou~product_simplification,denrées des Îles françaises de l'Amérique rocou,,orthographic
rocou~product_simplification,denrées des Îles rocou,,orthographic
rocou~product_simplification,drogues pour la teinture rocou,,orthographic
rocou~product_simplification,drogues pour les peintures et la teinture rocou,,orthographic
drap_fin~product_simplification,drap fin,,simplification
drap_fin~product_simplification,drap de laine fin,,orthographic
drap_fin~product_simplification,drap de laine fine,,orthographic
drap_fin~product_simplification,drap de laine lin,,orthographic
drap_fin~product_simplification,drap divers fin,,orthographic
drap_fin~product_simplification,drap draperie fine,,orthographic
galle~product_simplification,galle,,simplification
galle~product_simplification,droguerie peintures galle,,orthographic
galle~product_simplification,droguerie pour les peintures et la teinture galle,,orthographic
galle~product_simplification,droguerie pour peintures et teinture galle,,orthographic
galle~product_simplification,droguerie pour teinture et peintures galle,,orthographic
galle~product_simplification,drogues peintures et teinture galle,,orthographic
gomme~product_simplification,gomme,,simplification
gomme~product_simplification,drogues diverses gomme,,orthographic
gomme~product_simplification,drogues diverses gomme diverse,,orthographic
gomme~product_simplification,drogues diverses gommes diverses,,orthographic
gomme~product_simplification,drogues gomme,,orthographic
gomme~product_simplification,drogues gomme diverse,,orthographic
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de senteur de la reine de Hongrie,,simplification
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de la ???,,orthographic
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de la Reine de Hongrie,,orthographic
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de la reine de Hongrie,,orthographic
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de reine de Hongrie,,orthographic
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de senteur de la reine de Hongrie,,orthographic
étoffe_au_quart_de_soie~product_simplification,étoffe au quart de soie,,simplification
étoffe_au_quart_de_soie~product_simplification,étoffe au quart,,orthographic
étoffe_au_quart_de_soie~product_simplification,étoffe au quart de soie,,orthographic
étoffe_au_quart_de_soie~product_simplification,étoffe de soie au quart,,orthographic
étoffe_au_quart_de_soie~product_simplification,étoffe de soie au quart à peu de soie,,orthographic
étoffe_au_quart_de_soie~product_simplification,étoffe de soie au quart de soie,,orthographic
pelleterie~product_simplification,pelleterie,,simplification
pelleterie~product_simplification,ouvrages de peau,,orthographic
pelleterie~product_simplification,ouvrages de pelleterie,,orthographic
pelleterie~product_simplification,peaux et pelleterie pelleterie diverses,,orthographic
pelleterie~product_simplification,peaux pelleterie,,orthographic
pelleterie~product_simplification,peaux pelleterie de peaux diverses,,orthographic
restant_de_marchandises~product_simplification,restant de marchandises,,simplification
restant_de_marchandises~product_simplification,restant de cargaison,,orthographic
restant_de_marchandises~product_simplification,restant de chargement,,orthographic
restant_de_marchandises~product_simplification,restant de marchandises,,orthographic
restant_de_marchandises~product_simplification,restant de ses marchandises,,orthographic
