name,source_name
cuirs de bœuf tannés,Cuir de beuf tané
cuirs de bœuf tannés,Cuir ; de beuf ; tané
cuirs de bœuf tannés,Cuir de beuf tanés
cuirs de bœuf tannés,Cuir de beuf tanné
cuirs de bœuf tannés,Cuir; de beuf tannés
morue sèche,Moluë ; seiche
morue sèche,More seche
morue sèche,Morüe sèche
morue sèche,Morüe séche
morue sèche,Morüe Seche
peaux de mouton apprêtées,Peau ; de mouton ; apressés
peaux de mouton apprêtées,Peau ; de mouton ; aprêtée
peaux de mouton apprêtées,Peau de Mouton a pretées
peaux de mouton apprêtées,Peau de mouton aprettées
peaux de mouton apprêtées,Peaux de mouton appreté
toile à voile,Toile; à voile
toile à voile,Toile; A voile
toile à voile,Toile avoile
toile à voile,Toile à Voile
toile à voile,Toile à voile
plumes d'autruche apprêtées,Plume d'autruche appretée
plumes d'autruche apprêtées,Plume ; d'autruche ; apprêtée
plumes d'autruche apprêtées,Plume ; d'autruche ; aprestée
plumes d'autruche apprêtées,Plume ; d'autruche ; aprestées
plumes d'autruche apprêtées,Plume d'autruche aprêtée
cannettes de grès,Canetes de Gray
cannettes de grès,Canette de Gray
cannettes de grès,Canette de gray
cannettes de grès,Canette de gré
cannettes de grès,Canette de grès
merrains à barriques,Mairain à barique
merrains à barriques,Mairain à bariques
merrains à barriques,Mairains a bariques
merrains à barriques,Mairein à bariques
merrains à barriques,Mairin a Bariques
poêles à frire,Poelea frire
poêles à frire,Poële a frire
poêles à frire,Poêle à frire
poêles à frire,Poele à frire
poêles à frire,Poele a frire
bois merrains à barriques,Bois ;;mairin;a barique
bois merrains à barriques,Bois ; mairin a barique
bois merrains à barriques,Bois ;;mairin;à bariques
bois merrains à barriques,Bois ;;mairin;a bariques
bois merrains à barriques,Bois ; ; mairin; a Bariques
dame-jeannes,Damejane
dame-jeannes,Damejanes
dame-jeannes,Dame janes
dame-jeannes,Damejanne
dame-jeannes,Dame janne
fer en poêles à frire,Fer ; en perles à frire
fer en poêles à frire,Fer en poële à frire
fer en poêles à frire,Fer en poële a frire
fer en poêles à frire,Fer en poele à frire
fer en poêles à frire,Fer en poele a frire
peaux de veau corroyées,Peau ; de veau ; corroiées
peaux de veau corroyées,Peau de veau corroyé
peaux de veau corroyées,Peau de veau corroyée
peaux de veau corroyées,Peau ; de veau corroyée
peaux de veau corroyées,Peau ; de veau ; corroyée
toile guingans,Toile ginagas
toile guingans,Toile ginga
toile guingans,Toile ; ginga
toile guingans,Toile gingamp
toile guingans,Toile gingan
bois du Brésil,Bois a bresil
bois du Brésil,Bois Bresil
bois du Brésil,Bois bresil
bois du Brésil,Bois ; brésil
bois du Brésil,Bois ; Bresil
bois de Pernambouc,Bois ; de Camanbourg
bois de Pernambouc,Bois de fenambourg
bois de Pernambouc,Bois ; de fermambourg
bois de Pernambouc,Bois de fermanbourg
bois de Pernambouc,Bois ; de Fermanbourg
huile d'olive,Huile d'holive
huile d'olive,Huile; D'olive
huile d'olive,Huile; d'olive
huile d'olive,Huile dolive
huile d'olive,Huïle d'olive
merrains à barriques en douelles,Mairain à barique en douelles
merrains à barriques en douelles,Mairains a bariques en douelles
merrains à barriques en douelles,Mairein à bariques en douelles
merrains à barriques en douelles,Mairin a Bariques en douelles
merrains à barriques en douelles,Mairin A Barrique en douelles
bois de Campêche,Bas de campesche
bois de Campêche,Bois Campech
bois de Campêche,Bois Campêche
bois de Campêche,Bois Campeche
bois de Campêche,Bois campeche
cuirs de bœuf en poil,Cuir de beuf en poil
cuirs de bœuf en poil,Cuir ; de beuf ; en poil
cuirs de bœuf en poil,Cuir de beuf en poils
cuirs de bœuf en poil,Cuir de bœuf en poil
cuirs de bœuf en poil,Cuir ; de bœuf ; en poil
harengs saurs,Harancs ; fors
harengs saurs,Harands sors
harengs saurs,Harangs ; fors
harengs saurs,Harangs forts
harengs saurs,Harangs ; lora
marchandises mêlées,Marchandies melées
marchandises mêlées,Marchandise mêlée
marchandises mêlées,Marchandise melée
marchandises mêlées,Marchandise Mêléer
marchandises mêlées,Marchandise Mêlées
peaux de veau apprêtées,Peau ; de veau aprêtée
peaux de veau apprêtées,Peau ; de veau ; aprêtée
peaux de veau apprêtées,Peau de veau apretées
peaux de veau apprêtées,Peau de veau aprettées
peaux de veau apprêtées,Peau ; de veaux ; apressées
bourre à bâtier,Beurre à bastier
bourre à bâtier,Bourde a batier
bourre à bâtier,Boure a batier
bourre à bâtier,Boure a bâtir
bourre à bâtier,Bourre à bastier
toile d'emballage,Toiel d'emballage
toile d'emballage,Toile d'amballage
toile d'emballage,Toile ; d'emb ???
toile d'emballage,Toile ; d'embabis
toile d'emballage,Toile; d'embalage
bois de Sainte-Marthe,Bois de Mathe
bois de Sainte-Marthe,Bois ; de N marthe
bois de Sainte-Marthe,Bois de Sainte-Marthe
bois de Sainte-Marthe,Bois de Sainte Marthe
bois de Sainte-Marthe,Bois de sainte Marthe
poterie de grès,Petterie de grés
poterie de grès,Porterie de Gray
poterie de grès,Poterie de Bray
poterie de grès,Poterie de grais
poterie de grès,Poterie de Gray
dents d'éléphant,Dans delefant
dents d'éléphant,Den d'elefans
dents d'éléphant,Dens d'elefant
dents d'éléphant,Dens ; d'elephants
dents d'éléphant,Dent d'elefant
eau de la reine de Hongrie,Eau ; de la d'hongrie
eau de la reine de Hongrie,Eau ; de la M. d'Hongrie
eau de la reine de Hongrie,Eau ; de la M d'hongrie
eau de la reine de Hongrie,Eau de la raine d'Ongrie
eau de la reine de Hongrie,Eau ; de lar d'hongrie
peaux de veau tannées,Peau de veau tannée
peaux de veau tannées,Peau de veau tannées
peaux de veau tannées,Peau ; de veau ; tannées
peaux de veau tannées,Peau ; de veaux ; tannées
peaux de veau tannées,Peaux de vaux tannés
pelleterie apprêtée,Peleterie apretée
pelleterie apprêtée,Peletterie ; aprêtée
pelleterie apprêtée,Pellestrie a prestée
pelleterie apprêtée,Pelleterie ; apprestée
pelleterie apprêtée,Pelleterie apprestées
harengs blancs,Arans Blancs
harengs blancs,Harams blanc
harengs blancs,Haran blanc
harengs blancs,Haran blancs
harengs blancs,Haran ;Blancs
peaux de chèvre apprêtées,Peau ; de chevre aprêtée
peaux de chèvre apprêtées,Peau ; de chevre ; aprêtée
peaux de chèvre apprêtées,Peaux ; de chevre ; apprestées
peaux de chèvre apprêtées,Peaux de chèvre apprêtées
peaux de chèvre apprêtées,Peaux de chèvre appretées
toile de coton,Toie ; de coton
toile de coton,Toile de collon
toile de coton,Toilede coton
toile de coton,Toile; De coton
toile de coton,Toile; de coton
cornes à lanternes,Cordnes a lanternes
cornes à lanternes,Corne à Lanterne
cornes à lanternes,Corne à lanterne
cornes à lanternes,Corne A Lanterne
cornes à lanternes,Corne a Lanterne
térébenthine,Terabantine
térébenthine,Terbenchine
