id,name
drap~product_simplification,drap
grains_froment~product_simplification,grains froment
planches_de_sapin~product_simplification,planches de sapin
indigo~product_simplification,indigo
divers~product_simplification,divers
drogues~product_simplification,drogues
marchandises~product_simplification,marchandises
ouvrages_de_bois~product_simplification,ouvrages de bois
verdet~product_simplification,verdet
étoffe_de_soie~product_simplification,étoffe de soie
douelles_pour_pipes~product_simplification,douelles pour pipes
toile~product_simplification,toile
grains_orge~product_simplification,grains orge
douelles_pour_barriques~product_simplification,douelles pour barriques
alun~product_simplification,alun
raze_de_Maroc~product_simplification,raze de Maroc
toile_guingans~product_simplification,toile guingans
ouvrages_de_terre_cuite~product_simplification,ouvrages de terre cuite
toile_de_coton_et_de_fil~product_simplification,toile de coton et de fil
mercure~product_simplification,mercure
cochenille~product_simplification,cochenille
mouchoirs_de_coton~product_simplification,mouchoirs de coton
mercerie~product_simplification,mercerie
safran~product_simplification,safran
siamoise_de_coton_et_de_fil~product_simplification,siamoise de coton et de fil
linge_de_table~product_simplification,linge de table
acétates_de_plomb~product_simplification,acétates de plomb
azur~product_simplification,azur
bois~product_simplification,bois
canefice~product_simplification,canefice
grains_riz~product_simplification,grains riz
noix_de_Galle~product_simplification,noix de Galle
étoffe~product_simplification,étoffe
quincaillerie~product_simplification,quincaillerie
morue_sèche~product_simplification,morue sèche
toile_de_chanvre_et_de_lin~product_simplification,toile de chanvre et de lin
bœuf~product_simplification,bœuf
planches_de_chêne~product_simplification,planches de chêne
mâts~product_simplification,mâts
grains_divers~product_simplification,grains divers
étoffe_de_coton~product_simplification,étoffe de coton
dents_d'éléphant~product_simplification,dents d'éléphant
étoffe_de_soie_dorure_d'argent_et_d'or~product_simplification,étoffe de soie dorure d'argent et d'or
sel_d'ammoniac~product_simplification,sel d'ammoniac
tartre~product_simplification,tartre
garance~product_simplification,garance
étoffe_de_laine~product_simplification,étoffe de laine
morue_verte~product_simplification,morue verte
peaux~product_simplification,peaux
quincaillerie_d'acier_et_de_fer~product_simplification,quincaillerie d'acier et de fer
grains_maïs~product_simplification,grains maïs
grains_seigle~product_simplification,grains seigle
ruban_de_soie~product_simplification,ruban de soie
cordeillat~product_simplification,cordeillat
Nankin~product_simplification,Nankin
couperose~product_simplification,couperose
serge_de_laine~product_simplification,serge de laine
drogues_pour_peintures_et_teinture~product_simplification,drogues pour peintures et teinture
jus_de_réglisse~product_simplification,jus de réglisse
mine_de_plomb~product_simplification,mine de plomb
étoffe_de_coton_et_de_soie~product_simplification,étoffe de coton et de soie
haricots~product_simplification,haricots
grains_millet~product_simplification,grains millet
passementerie~product_simplification,passementerie
antimoine~product_simplification,antimoine
bayette~product_simplification,bayette
vaches~product_simplification,vaches
callemande_de_laine~product_simplification,callemande de laine
chemises~product_simplification,chemises
toile_de_coton~product_simplification,toile de coton
rocou~product_simplification,rocou
drap_fin~product_simplification,drap fin
galle~product_simplification,galle
gomme~product_simplification,gomme
eau_de_senteur_de_la_reine_de_Hongrie~product_simplification,eau de senteur de la reine de Hongrie
étoffe_au_quart_de_soie~product_simplification,étoffe au quart de soie
pelleterie~product_simplification,pelleterie
restant_de_marchandises~product_simplification,restant de marchandises
alquifoux~product_simplification,alquifoux
arsenic~product_simplification,arsenic
porcs~product_simplification,porcs
vin_de_liqueurs~product_simplification,vin de liqueurs
céruse~product_simplification,céruse
lard_salé~product_simplification,lard salé
crème_de_tartre~product_simplification,crème de tartre
racines_d'alizari~product_simplification,racines d'alizari
gomme_arabique~product_simplification,gomme arabique
huile_de_térébenthine~product_simplification,huile de térébenthine
litharge~product_simplification,litharge
noir_de_fumée~product_simplification,noir de fumée
sel_chimique~product_simplification,sel chimique
eau_de_senteur~product_simplification,eau de senteur
épicerie~product_simplification,épicerie
étoffe_à_peu_de_soie~product_simplification,étoffe à peu de soie
étoffe_de_laine_et_de_soie~product_simplification,étoffe de laine et de soie
gants_de_peau~product_simplification,gants de peau
fruits~product_simplification,fruits
mousseline~product_simplification,mousseline
toile_des_Indes~product_simplification,toile des Indes
mouchoirs_de_coton_et_de_fil~product_simplification,mouchoirs de coton et de fil
toile_de_Bretagne~product_simplification,toile de Bretagne
canons_de_fer~product_simplification,canons de fer
bas_de_coton_et_bas_de_fil~product_simplification,bas de coton et bas de fil
batiste~product_simplification,batiste
moutons~product_simplification,moutons
grains_méteil~product_simplification,grains méteil
douelles_pour_barils~product_simplification,douelles pour barils
douelles_pour_quarts~product_simplification,douelles pour quarts
bois_de_Campêche~product_simplification,bois de Campêche
merrains_pour_pipes~product_simplification,merrains pour pipes
bois_de_Pernambouc~product_simplification,bois de Pernambouc
bois_des_Indes~product_simplification,bois des Indes
bonneterie~product_simplification,bonneterie
bœuf_salé~product_simplification,bœuf salé
callemande~product_simplification,callemande
cantharides~product_simplification,cantharides
carreaux_de_terre_cuite~product_simplification,carreaux de terre cuite
cendre~product_simplification,cendre
porcs_salés~product_simplification,porcs salés
chapeaux~product_simplification,chapeaux
coton~product_simplification,coton
ouvrages_de_cuivre~product_simplification,ouvrages de cuivre
ratine~product_simplification,ratine
gomme_du_Sénégal~product_simplification,gomme du Sénégal
manne~product_simplification,manne
médicaments~product_simplification,médicaments
quinquina~product_simplification,quinquina
sumac~product_simplification,sumac
vermillon~product_simplification,vermillon
racines~product_simplification,racines
minium~product_simplification,minium
poivre~product_simplification,poivre
étamine~product_simplification,étamine
étoffe_de_coton_et_de_fil~product_simplification,étoffe de coton et de fil
étoffe_de_fil_et_de_soie~product_simplification,étoffe de fil et de soie
fil_de_fer~product_simplification,fil de fer
fleurs_artificielles~product_simplification,fleurs artificielles
forme_à_sucre_de_terre~product_simplification,forme à sucre de terre
harnais_et_selles~product_simplification,harnais et selles
horloge_de_bois~product_simplification,horloge de bois
huile_de_graine~product_simplification,huile de graine
papier_à_écrire~product_simplification,papier à écrire
parfumerie~product_simplification,parfumerie
papier~product_simplification,papier
pelleterie_apprêtée~product_simplification,pelleterie apprêtée
saumon_salé~product_simplification,saumon salé
toile_de_chanvre~product_simplification,toile de chanvre
toile_de_lin~product_simplification,toile de lin
alizari~product_simplification,alizari
piastres~product_simplification,piastres
vaisselle_d'argent~product_simplification,vaisselle d'argent
farine~product_simplification,farine
bas_de_laine~product_simplification,bas de laine
chevaux~product_simplification,chevaux
chevaux_de_labour~product_simplification,chevaux de labour
mules_et_mulets~product_simplification,mules et mulets
mulets~product_simplification,mulets
poulains~product_simplification,poulains
bois_de_gaïac~product_simplification,bois de gaïac
merrains~product_simplification,merrains
bois_de_réglisse~product_simplification,bois de réglisse
avirons_de_bois~product_simplification,avirons de bois
borax~product_simplification,borax
chair_salée~product_simplification,chair salée
clous_de_fer~product_simplification,clous de fer
cornes~product_simplification,cornes
couvertures_de_coton~product_simplification,couvertures de coton
monnaies_de_cuivre~product_simplification,monnaies de cuivre
dame-jeannes_de_verre~product_simplification,dame-jeannes de verre
drap_de_coton~product_simplification,drap de coton
drap_écarlate~product_simplification,drap écarlate
drap_londrin~product_simplification,drap londrin
molleton_de_laine~product_simplification,molleton de laine
drap_petit~product_simplification,drap petit
rhubarbe~product_simplification,rhubarbe
encens~product_simplification,encens
sel_d'Epsom~product_simplification,sel d'Epsom
eau_de_fleurs_d'oranger~product_simplification,eau de fleurs d'oranger
