name_orthographic,lowercase_name,typographic_cleaned_name,special_charachters_cleaned_name,stop_words_cleaned_name
cuirs de bœuf tannés,cuirs de bœuf tannés,cuirs de boeuf tannes,cuirs de boeuf tannes,boeuf cuirs tannes
morue sèche,morue sèche,morue seche,morue seche,morue seche
peaux de mouton apprêtées,peaux de mouton apprêtées,peaux de mouton appretees,peaux de mouton appretees,appretees mouton peaux
toile à voile,toile à voile,toile a voile,toile a voile,toile voile
plumes d'autruche apprêtées,plumes d'autruche apprêtées,plumes d'autruche appretees,plumes d autruche appretees,appretees autruche plumes
cannettes de grès,cannettes de grès,cannettes de gres,cannettes de gres,cannettes gres
merrains à barriques,merrains à barriques,merrains a barriques,merrains a barriques,barriques merrains
poêles à frire,poêles à frire,poeles a frire,poeles a frire,frire poeles
bois merrains à barriques,bois merrains à barriques,bois merrains a barriques,bois merrains a barriques,barriques bois merrains
dame-jeannes,dame-jeannes,dame-jeannes,dame jeannes,dame jeannes
fer en poêles à frire,fer en poêles à frire,fer en poeles a frire,fer en poeles a frire,fer frire poeles
peaux de veau corroyées,peaux de veau corroyées,peaux de veau corroyees,peaux de veau corroyees,corroyees peaux veau
toile guingans,toile guingans,toile guingans,toile guingans,guingans toile
bois du Brésil,bois du brésil,bois du bresil,bois du bresil,bois bresil
bois de Pernambouc,bois de pernambouc,bois de pernambouc,bois de pernambouc,bois pernambouc
huile d'olive,huile d'olive,huile d'olive,huile d olive,huile olive
merrains à barriques en douelles,merrains à barriques en douelles,merrains a barriques en douelles,merrains a barriques en douelles,barriques douelles merrains
bois de Campêche,bois de campêche,bois de campeche,bois de campeche,bois campeche
cuirs de bœuf en poil,cuirs de bœuf en poil,cuirs de boeuf en poil,cuirs de boeuf en poil,boeuf cuirs poil
harengs saurs,harengs saurs,harengs saurs,harengs saurs,harengs saurs
marchandises mêlées,marchandises mêlées,marchandises melees,marchandises melees,marchandises melees
peaux de veau apprêtées,peaux de veau apprêtées,peaux de veau appretees,peaux de veau appretees,appretees peaux veau
bourre à bâtier,bourre à bâtier,bourre a batier,bourre a batier,batier bourre
toile d'emballage,toile d'emballage,toile d'emballage,toile d emballage,emballage toile
bois de Sainte-Marthe,bois de sainte-marthe,bois de sainte-marthe,bois de sainte marthe,bois marthe sainte
poterie de grès,poterie de grès,poterie de gres,poterie de gres,gres poterie
dents d'éléphant,dents d'éléphant,dents d'elephant,dents d elephant,dents elephant
eau de la reine de Hongrie,eau de la reine de hongrie,eau de la reine de hongrie,eau de la reine de hongrie,eau hongrie reine
peaux de veau tannées,peaux de veau tannées,peaux de veau tannees,peaux de veau tannees,peaux tannees veau
pelleterie apprêtée,pelleterie apprêtée,pelleterie appretee,pelleterie appretee,appretee pelleterie
harengs blancs,harengs blancs,harengs blancs,harengs blancs,blancs harengs
peaux de chèvre apprêtées,peaux de chèvre apprêtées,peaux de chevre appretees,peaux de chevre appretees,appretees chevre peaux
toile de coton,toile de coton,toile de coton,toile de coton,coton toile
cornes à lanternes,cornes à lanternes,cornes a lanternes,cornes a lanternes,cornes lanternes
térébenthine,térébenthine,terebenthine,terebenthine,terebenthine
toile batiste,toile batiste,toile batiste,toile batiste,batiste toile
bois à brûler,bois à brûler,bois a bruler,bois a bruler,bois bruler
cassia lignea,cassia lignea,cassia lignea,cassia lignea,cassia lignea
cuirs de Russie,cuirs de russie,cuirs de russie,cuirs de russie,cuirs russie
meules à aiguiser,meules à aiguiser,meules a aiguiser,meules a aiguiser,aiguiser meules
baume de Copahu,baume de copahu,baume de copahu,baume de copahu,baume copahu
cuirs de vache tannés,cuirs de vache tannés,cuirs de vache tannes,cuirs de vache tannes,cuirs tannes vache
gomme adragant,gomme adragant,gomme adragant,gomme adragant,adragant gomme
huile de térébenthine,huile de térébenthine,huile de terebenthine,huile de terebenthine,huile terebenthine
racines d'alizari,racines d'alizari,racines d'alizari,racines d alizari,alizari racines
sel d'Epsom,sel d'epsom,sel d'epsom,sel d epsom,epsom sel
écaille de tortue,écaille de tortue,ecaille de tortue,ecaille de tortue,ecaille tortue
cuirs de vache corroyés,cuirs de vache corroyés,cuirs de vache corroyes,cuirs de vache corroyes,corroyes cuirs vache
étoffe de soie,étoffe de soie,etoffe de soie,etoffe de soie,etoffe soie
fer en tôle,fer en tôle,fer en tole,fer en tole,fer tole
gomme du Sénégal,gomme du sénégal,gomme du senegal,gomme du senegal,gomme senegal
graine de genièvre,graine de genièvre,graine de genievre,graine de genievre,genievre graine
pierres à fusils,pierres à fusils,pierres a fusils,pierres a fusils,fusils pierres
bœuf salé,bœuf salé,boeuf sale,boeuf sale,boeuf sale
bois merrains à barriques en douelles,bois merrains à barriques en douelles,bois merrains a barriques en douelles,bois merrains a barriques en douelles,barriques bois douelles merrains
chapeaux demi castor,chapeaux demi castor,chapeaux demi castor,chapeaux demi castor,castor chapeaux demi
cuirs de génisse corroyés,cuirs de génisse corroyés,cuirs de genisse corroyes,cuirs de genisse corroyes,corroyes cuirs genisse
cuirs tannés,cuirs tannés,cuirs tannes,cuirs tannes,cuirs tannes
étain ouvré,étain ouvré,etain ouvre,etain ouvre,etain ouvre
fil de laiton,fil de laiton,fil de laiton,fil de laiton,fil laiton
guingans,guingans,guingans,guingans,guingans
neganepeau,neganepeau,neganepeau,neganepeau,neganepeau
pipes à fumer,pipes à fumer,pipes a fumer,pipes a fumer,fumer pipes
toile serpillière,toile serpillière,toile serpilliere,toile serpilliere,serpilliere toile
verres cristallins,verres cristallins,verres cristallins,verres cristallins,cristallins verres
bois merrains à pipes,bois merrains à pipes,bois merrains a pipes,bois merrains a pipes,bois merrains pipes
coton filé,coton filé,coton file,coton file,coton file
faux à faucher,faux à faucher,faux a faucher,faux a faucher,faucher faux
gomme élémi,gomme élémi,gomme elemi,gomme elemi,elemi gomme
merrains à pipes,merrains à pipes,merrains a pipes,merrains a pipes,merrains pipes
chapeaux mi castor,chapeaux mi castor,chapeaux mi castor,chapeaux mi castor,castor chapeaux mi
coque du Levant,coque du levant,coque du levant,coque du levant,coque levant
fromage de Hollande,fromage de hollande,fromage de hollande,fromage de hollande,fromage hollande
Guinée bleue,guinée bleue,guinee bleue,guinee bleue,bleue guinee
huile de poisson,huile de poisson,huile de poisson,huile de poisson,huile poisson
moulins à café,moulins à café,moulins a cafe,moulins a cafe,cafe moulins
