name_orthographic,lowercase_name,typographic_cleaned_name,special_charachters_cleaned_name,stop_words_cleaned_name
nattes de jonc,nattes de jonc,nattes de jonc,nattes de jonc,jonc nattes
pierres à aiguiser,pierres à aiguiser,pierres a aiguiser,pierres a aiguiser,aiguiser pierres
toile à carreaux,toile à carreaux,toile a carreaux,toile a carreaux,carreaux toile
basanes tannées,basanes tannées,basanes tannees,basanes tannees,basanes tannees
chaises de commodité,chaises de commodité,chaises de commodite,chaises de commodite,chaises commodite
chapeaux à nègre,chapeaux à nègre,chapeaux a negre,chapeaux a negre,chapeaux negre
stockfish,stockfish,stockfish,stockfish,stockfish
merrains fonçaille,merrains fonçaille,merrains foncaille,merrains foncaille,foncaille merrains
meules à taillandier,meules à taillandier,meules a taillandier,meules a taillandier,meules taillandier
morue verte,morue verte,morue verte,morue verte,morue verte
nicaneas,nicaneas,nicaneas,nicaneas,nicaneas
toile platille,toile platille,toile platille,toile platille,platille toile
yeux d'écrevisses,yeux d'écrevisses,yeux d'ecrevisses,yeux d ecrevisses,ecrevisses yeux
baleine coupée,baleine coupée,baleine coupee,baleine coupee,baleine coupee
bois de simarouba,bois de simarouba,bois de simarouba,bois de simarouba,bois simarouba
merrains à pipes en douelles,merrains à pipes en douelles,merrains a pipes en douelles,merrains a pipes en douelles,douelles merrains pipes
bouchons de liège,bouchons de liège,bouchons de liege,bouchons de liege,bouchons liege
ipécacuanha,ipécacuanha,ipecacuanha,ipecacuanha,ipecacuanha
fromage de Gruyère,fromage de gruyère,fromage de gruyere,fromage de gruyere,fromage gruyere
meules à coutelier,meules à coutelier,meules a coutelier,meules a coutelier,coutelier meules
planches de chêne,planches de chêne,planches de chene,planches de chene,chene planches
vin de Xérès,vin de xérès,vin de xeres,vin de xeres,vin xeres
blé froment,blé froment,ble froment,ble froment,ble froment
boîtes de bergamotes,boîtes de bergamotes,boites de bergamotes,boites de bergamotes,bergamotes boites
bois merrains à fonds,bois merrains à fonds,bois merrains a fonds,bois merrains a fonds,bois fonds merrains
chanvre cru,chanvre cru,chanvre cru,chanvre cru,chanvre cru
dentelle du Puy,dentelle du puy,dentelle du puy,dentelle du puy,dentelle puy
étoffe au quart de soie,étoffe au quart de soie,etoffe au quart de soie,etoffe au quart de soie,etoffe quart soie
fer en barres,fer en barres,fer en barres,fer en barres,barres fer
fruits à l'eau-de-vie,fruits à l'eau-de-vie,fruits a l'eau-de-vie,fruits a l eau de vie,eau fruits vie
graine de trèfle,graine de trèfle,graine de trefle,graine de trefle,graine trefle
mouchoirs de romals,mouchoirs de romals,mouchoirs de romals,mouchoirs de romals,mouchoirs romals
peaux de loup cervier,peaux de loup cervier,peaux de loup cervier,peaux de loup cervier,cervier loup peaux
pierres à faux,pierres à faux,pierres a faux,pierres a faux,faux pierres
pois verts,pois verts,pois verts,pois verts,pois verts
raisin sec,raisin sec,raisin sec,raisin sec,raisin sec
soie apprêtée,soie apprêtée,soie appretee,soie appretee,appretee soie
toile de Bretagne,toile de bretagne,toile de bretagne,toile de bretagne,bretagne toile
toile de Saintonge,toile de saintonge,toile de saintonge,toile de saintonge,saintonge toile
verres à vitre,verres à vitre,verres a vitre,verres a vitre,verres vitre
baleine en fanon,baleine en fanon,baleine en fanon,baleine en fanon,baleine fanon
bois de Caliatour,bois de caliatour,bois de caliatour,bois de caliatour,bois caliatour
café des Îles,café des îles,cafe des iles,cafe des iles,cafe iles
chair salée,chair salée,chair salee,chair salee,chair salee
drap de Louviers,drap de louviers,drap de louviers,drap de louviers,drap louviers
fil à voile,fil à voile,fil a voile,fil a voile,fil voile
fruits crus,fruits crus,fruits crus,fruits crus,crus fruits
peaux de chevreuil,peaux de chevreuil,peaux de chevreuil,peaux de chevreuil,chevreuil peaux
peaux de martre,peaux de martre,peaux de martre,peaux de martre,martre peaux
pelleterie commune,pelleterie commune,pelleterie commune,pelleterie commune,commune pelleterie
saumon salé,saumon salé,saumon sale,saumon sale,sale saumon
toile de Bretagne étroite,toile de bretagne étroite,toile de bretagne etroite,toile de bretagne etroite,bretagne etroite toile
toile de chanvre,toile de chanvre,toile de chanvre,toile de chanvre,chanvre toile
toile diverse,toile diverse,toile diverse,toile diverse,diverse toile
toile peinte,toile peinte,toile peinte,toile peinte,peinte toile
verres à boire,verres à boire,verres a boire,verres a boire,boire verres
bois d'ébène,bois d'ébène,bois d'ebene,bois d ebene,bois ebene
bois merrains,bois merrains,bois merrains,bois merrains,bois merrains
bordage de chêne,bordage de chêne,bordage de chene,bordage de chene,bordage chene
clous de fer,clous de fer,clous de fer,clous de fer,clous fer
eau de fleurs d'orange,eau de fleurs d'orange,eau de fleurs d'orange,eau de fleurs d orange,eau fleurs orange
espars,espars,espars,espars,espars
fil à sennes,fil à sennes,fil a sennes,fil a sennes,fil sennes
filets à pêcher,filets à pêcher,filets a pecher,filets a pecher,filets pecher
laque plate,laque plate,laque plate,laque plate,laque plate
mouchoirs de Pondichéry,mouchoirs de pondichéry,mouchoirs de pondichery,mouchoirs de pondichery,mouchoirs pondichery
peignes de buis,peignes de buis,peignes de buis,peignes de buis,buis peignes
plomb en saumon,plomb en saumon,plomb en saumon,plomb en saumon,plomb saumon
plumes à écrire,plumes à écrire,plumes a ecrire,plumes a ecrire,ecrire plumes
plumes d'autruche brutes,plumes d'autruche brutes,plumes d'autruche brutes,plumes d autruche brutes,autruche brutes plumes
poivre giroflé,poivre giroflé,poivre girofle,poivre girofle,girofle poivre
rogues de stockfish,rogues de stockfish,rogues de stockfish,rogues de stockfish,rogues stockfish
rogues de morue,rogues de morue,rogues de morue,rogues de morue,morue rogues
toile caissie,toile caissie,toile caissie,toile caissie,caissie toile
toile de lin de Saint-Quentin,toile de lin de saint-quentin,toile de lin de saint-quentin,toile de lin de saint quentin,lin quentin saint toile
toile de lin diverse,toile de lin diverse,toile de lin diverse,toile de lin diverse,diverse lin toile
toile d'étoupes,toile d'étoupes,toile d'etoupes,toile d etoupes,etoupes toile
toile royale,toile royale,toile royale,toile royale,royale toile
vieux oint,vieux oint,vieux oint,vieux oint,oint vieux
vin de Chypre,vin de chypre,vin de chypre,vin de chypre,chypre vin
bourre de bœuf,bourre de bœuf,bourre de boeuf,bourre de boeuf,boeuf bourre
canefice,canefice,canefice,canefice,canefice
cordage d'espars,cordage d'espars,cordage d'espars,cordage d espars,cordage espars
cornes de bœuf,cornes de bœuf,cornes de boeuf,cornes de boeuf,boeuf cornes
corot,corot,corot,corot,corot
crème de tartre,crème de tartre,creme de tartre,creme de tartre,creme tartre
pâte d'amandes,pâte d'amandes,pate d'amandes,pate d amandes,amandes pate
pain d'épice,pain d'épice,pain d'epice,pain d epice,epice pain
planches de Prusse,planches de prusse,planches de prusse,planches de prusse,planches prusse
planches de sapin,planches de sapin,planches de sapin,planches de sapin,planches sapin
pierres d'émeri,pierres d'émeri,pierres d'emeri,pierres d emeri,emeri pierres
poudre à poudrer,poudre à poudrer,poudre a poudrer,poudre a poudrer,poudre poudrer
toile blanche,toile blanche,toile blanche,toile blanche,blanche toile
toile de Hollande,toile de hollande,toile de hollande,toile de hollande,hollande toile
bois de Campêche en bûches,bois de campêche en bûches,bois de campeche en buches,bois de campeche en buches,bois buches campeche
cendre gravelée,cendre gravelée,cendre gravelee,cendre gravelee,cendre gravelee
cercles à tonneaux,cercles à tonneaux,cercles a tonneaux,cercles a tonneaux,cercles tonneaux
cirsaca,cirsaca,cirsaca,cirsaca,cirsaca
cire jaune,cire jaune,cire jaune,cire jaune,cire jaune
coton en laine,coton en laine,coton en laine,coton en laine,coton laine
contra yerba,contra yerba,contra yerba,contra yerba,contra yerba
dents de morphil,dents de morphil,dents de morphil,dents de morphil,dents morphil
douelles à tonneaux,douelles à tonneaux,douelles a tonneaux,douelles a tonneaux,douelles tonneaux
eau-de-vie d'Hendaye,eau-de-vie d'hendaye,eau-de-vie d'hendaye,eau de vie d hendaye,eau hendaye vie
fleurs de soufre,fleurs de soufre,fleurs de soufre,fleurs de soufre,fleurs soufre
graine de jardin,graine de jardin,graine de jardin,graine de jardin,graine jardin
haches houes et serpes,haches houes et serpes,haches houes et serpes,haches houes et serpes,haches houes serpes
inde plate,inde plate,inde plate,inde plate,inde plate
liège en planches,liège en planches,liege en planches,liege en planches,liege planches
peaux de maroquins,peaux de maroquins,peaux de maroquins,peaux de maroquins,maroquins peaux
pierres ponce,pierres ponce,pierres ponce,pierres ponce,pierres ponce
plumes à lit,plumes à lit,plumes a lit,plumes a lit,lit plumes
poterie de grès barbançons,poterie de grès barbançons,poterie de gres barbancons,poterie de gres barbancons,barbancons gres poterie
quincaille de fer et acier,quincaille de fer et acier,quincaille de fer et acier,quincaille de fer et acier,acier fer quincaille
rave de morue,rave de morue,rave de morue,rave de morue,morue rave
toile killis,toile killis,toile killis,toile killis,killis toile
ustensiles de pêche,ustensiles de pêche,ustensiles de peche,ustensiles de peche,peche ustensiles
aiguilles à coudre,aiguilles à coudre,aiguilles a coudre,aiguilles a coudre,aiguilles coudre
amandes cassées,amandes cassées,amandes cassees,amandes cassees,amandes cassees
armes à feu fusils,armes à feu fusils,armes a feu fusils,armes a feu fusils,armes feu fusils
asa foetida,asa foetida,asa foetida,asa foetida,asa foetida
balais de palme,balais de palme,balais de palme,balais de palme,balais palme
barriques vides,barriques vides,barriques vides,barriques vides,barriques vides
bonneterie de laine,bonneterie de laine,bonneterie de laine,bonneterie de laine,bonneterie laine
bourre de soie,bourre de soie,bourre de soie,bourre de soie,bourre soie
cartes à jouer,cartes à jouer,cartes a jouer,cartes a jouer,cartes jouer
chanvre peigné,chanvre peigné,chanvre peigne,chanvre peigne,chanvre peigne
couteaux flamands,couteaux flamands,couteaux flamands,couteaux flamands,couteaux flamands
drap d'Abbeville,drap d'abbeville,drap d'abbeville,drap d abbeville,abbeville drap
drap d'Elbeuf,drap d'elbeuf,drap d'elbeuf,drap d elbeuf,drap elbeuf
drap écarlate,drap écarlate,drap ecarlate,drap ecarlate,drap ecarlate
fer-blanc,fer-blanc,fer-blanc,fer blanc,blanc fer
guingans de Pondichéry,guingans de pondichéry,guingans de pondichery,guingans de pondichery,guingans pondichery
gaze de soie,gaze de soie,gaze de soie,gaze de soie,gaze soie
gomme sandarac,gomme sandarac,gomme sandarac,gomme sandarac,gomme sandarac
huile de lin,huile de lin,huile de lin,huile de lin,huile lin
lignes à pêcher,lignes à pêcher,lignes a pecher,lignes a pecher,lignes pecher
orge mondé,orge mondé,orge monde,orge monde,monde orge
papier Gênes fin,papier gênes fin,papier genes fin,papier genes fin,fin genes papier
peaux d'orignal,peaux d'orignal,peaux d'orignal,peaux d orignal,orignal peaux
pelleterie du Canada,pelleterie du canada,pelleterie du canada,pelleterie du canada,canada pelleterie
poisson salé,poisson salé,poisson sale,poisson sale,poisson sale
rouets à filer,rouets à filer,rouets a filer,rouets a filer,filer rouets
sennes à pêcher,sennes à pêcher,sennes a pecher,sennes a pecher,pecher sennes
suif en chandelle,suif en chandelle,suif en chandelle,suif en chandelle,chandelle suif
tabac en feuilles,tabac en feuilles,tabac en feuilles,tabac en feuilles,feuilles tabac
toile cirée,toile cirée,toile ciree,toile ciree,ciree toile
toile de Bretagne d'Olonne,toile de bretagne d'olonne,toile de bretagne d'olonne,toile de bretagne d olonne,bretagne olonne toile
toile de Bretagne rosconne,toile de bretagne rosconne,toile de bretagne rosconne,toile de bretagne rosconne,bretagne rosconne toile
toile de coton des Indes,toile de coton des indes,toile de coton des indes,toile de coton des indes,coton indes toile
toile de lin blanche,toile de lin blanche,toile de lin blanche,toile de lin blanche,blanche lin toile
toile de ménage,toile de ménage,toile de menage,toile de menage,menage toile
toile siamoise,toile siamoise,toile siamoise,toile siamoise,siamoise toile
bas de soie,bas de soie,bas de soie,bas de soie,bas soie
bois de gaïac,bois de gaïac,bois de gaiac,bois de gaiac,bois gaiac
bourses à cheveux,bourses à cheveux,bourses a cheveux,bourses a cheveux,bourses cheveux
brai sec,brai sec,brai sec,brai sec,brai sec
charbon de terre,charbon de terre,charbon de terre,charbon de terre,charbon terre
chardons à drapier,chardons à drapier,chardons a drapier,chardons a drapier,chardons drapier
cordeillat,cordeillat,cordeillat,cordeillat,cordeillat
couvertures de laine,couvertures de laine,couvertures de laine,couvertures de laine,couvertures laine
gants de peau,gants de peau,gants de peau,gants de peau,gants peau
goudron,goudron,goudron,goudron,goudron
gomme copale,gomme copale,gomme copale,gomme copale,copale gomme
herbes pérelle,herbes pérelle,herbes perelle,herbes perelle,herbes perelle
huile de girofle,huile de girofle,huile de girofle,huile de girofle,girofle huile
laine filée,laine filée,laine filee,laine filee,filee laine
mercerie mêlée,mercerie mêlée,mercerie melee,mercerie melee,melee mercerie
meules à moulins,meules à moulins,meules a moulins,meules a moulins,meules moulins
mouchoirs de Bengale,mouchoirs de bengale,mouchoirs de bengale,mouchoirs de bengale,bengale mouchoirs
papier à bulle blanc,papier à bulle blanc,papier a bulle blanc,papier a bulle blanc,blanc bulle papier
peaux de mouton en laine,peaux de mouton en laine,peaux de mouton en laine,peaux de mouton en laine,laine mouton peaux
peaux de veau en poil,peaux de veau en poil,peaux de veau en poil,peaux de veau en poil,peaux poil veau
pierres à rasoirs,pierres à rasoirs,pierres a rasoirs,pierres a rasoirs,pierres rasoirs
rets à pêcher,rets à pêcher,rets a pecher,rets a pecher,pecher rets
ruban de soie,ruban de soie,ruban de soie,ruban de soie,ruban soie
sucre terré,sucre terré,sucre terre,sucre terre,sucre terre
toile Cholet,toile cholet,toile cholet,toile cholet,cholet toile
toile coutil,toile coutil,toile coutil,toile coutil,coutil toile
toile beurrière,toile beurrière,toile beurriere,toile beurriere,beurriere toile
toile de Bretagne large,toile de bretagne large,toile de bretagne large,toile de bretagne large,bretagne large toile
toile de Bretagne de Fougères,toile de bretagne de fougères,toile de bretagne de fougeres,toile de bretagne de fougeres,bretagne fougeres toile
toile de Bretagne de Languenan,toile de bretagne de languenan,toile de bretagne de languenan,toile de bretagne de languenan,bretagne languenan toile
toile de Bretagne gratienne,toile de bretagne gratienne,toile de bretagne gratienne,toile de bretagne gratienne,bretagne gratienne toile
toile de lin,toile de lin,toile de lin,toile de lin,lin toile
???,???,???,???,
aiguilles à voile,aiguilles à voile,aiguilles a voile,aiguilles a voile,aiguilles voile
balais de jonc,balais de jonc,balais de jonc,balais de jonc,balais jonc
barils vides,barils vides,barils vides,barils vides,barils vides
blé maïs,blé maïs,ble mais,ble mais,ble mais
bois de Campêche râpé,bois de campêche râpé,bois de campeche rape,bois de campeche rape,bois campeche rape
bois de Caliatour moulu,bois de caliatour moulu,bois de caliatour moulu,bois de caliatour moulu,bois caliatour moulu
bois merrains à pipes en douelles,bois merrains à pipes en douelles,bois merrains a pipes en douelles,bois merrains a pipes en douelles,bois douelles merrains pipes
bonnets de coton,bonnets de coton,bonnets de coton,bonnets de coton,bonnets coton
brai gras,brai gras,brai gras,brai gras,brai gras
café du Levant,café du levant,cafe du levant,cafe du levant,cafe levant
callemande,callemande,callemande,callemande,callemande
cannes à main,cannes à main,cannes a main,cannes a main,cannes main
chaises de paille,chaises de paille,chaises de paille,chaises de paille,chaises paille
chemises à nègre,chemises à nègre,chemises a negre,chemises a negre,chemises negre
couffes à boulanger,couffes à boulanger,couffes a boulanger,couffes a boulanger,boulanger couffes
cuirs de bœuf apprêtés,cuirs de bœuf apprêtés,cuirs de boeuf appretes,cuirs de boeuf appretes,appretes boeuf cuirs
cuivre ouvré,cuivre ouvré,cuivre ouvre,cuivre ouvre,cuivre ouvre
dentelle de soie,dentelle de soie,dentelle de soie,dentelle de soie,dentelle soie
drogues d'apothicaire,drogues d'apothicaire,drogues d'apothicaire,drogues d apothicaire,apothicaire drogues
drap de Carcassonne,drap de carcassonne,drap de carcassonne,drap de carcassonne,carcassonne drap
fil à coudre,fil à coudre,fil a coudre,fil a coudre,coudre fil
fil à rets,fil à rets,fil a rets,fil a rets,fil rets
fil d'étoupes,fil d'étoupes,fil d'etoupes,fil d etoupes,etoupes fil
filets d'espars,filets d'espars,filets d'espars,filets d espars,espars filets
graine de vers à soie,graine de vers à soie,graine de vers a soie,graine de vers a soie,graine soie vers
herbes capillaire,herbes capillaire,herbes capillaire,herbes capillaire,capillaire herbes
huile de Copahu,huile de copahu,huile de copahu,huile de copahu,copahu huile
huile de morue,huile de morue,huile de morue,huile de morue,huile morue
huile de navette,huile de navette,huile de navette,huile de navette,huile navette
huile de rabette,huile de rabette,huile de rabette,huile de rabette,huile rabette
laine de Ségovie,laine de ségovie,laine de segovie,laine de segovie,laine segovie
laiton gratté,laiton gratté,laiton gratte,laiton gratte,gratte laiton
langues de bœuf,langues de bœuf,langues de boeuf,langues de boeuf,boeuf langues
langues salées,langues salées,langues salees,langues salees,langues salees
merrains à barriques douelles,merrains à barriques douelles,merrains a barriques douelles,merrains a barriques douelles,barriques douelles merrains
mèches à canons,mèches à canons,meches a canons,meches a canons,canons meches
mouchoirs de soie,mouchoirs de soie,mouchoirs de soie,mouchoirs de soie,mouchoirs soie
papier à écrire,papier à écrire,papier a ecrire,papier a ecrire,ecrire papier
peaux de chèvre,peaux de chèvre,peaux de chevre,peaux de chevre,chevre peaux
peaux d'agneau apprêtées,peaux d'agneau apprêtées,peaux d'agneau appretees,peaux d agneau appretees,agneau appretees peaux
peaux de chèvre en poil,peaux de chèvre en poil,peaux de chevre en poil,peaux de chevre en poil,chevre peaux poil
peaux de loup de bois,peaux de loup de bois,peaux de loup de bois,peaux de loup de bois,bois loup peaux
peaux de mouton passées,peaux de mouton passées,peaux de mouton passees,peaux de mouton passees,mouton passees peaux
pignons d'épines,pignons d'épines,pignons d'epines,pignons d epines,epines pignons
plomb en grenaille,plomb en grenaille,plomb en grenaille,plomb en grenaille,grenaille plomb
salemporis bleu,salemporis bleu,salemporis bleu,salemporis bleu,bleu salemporis
sucre têtes,sucre têtes,sucre tetes,sucre tetes,sucre tetes
soie crue,soie crue,soie crue,soie crue,crue soie
tabac du Brésil,tabac du brésil,tabac du bresil,tabac du bresil,bresil tabac
toile à matelas,toile à matelas,toile a matelas,toile a matelas,matelas toile
toile d'aman,toile d'aman,toile d'aman,toile d aman,aman toile
toile de Bretagne à voile,toile de bretagne à voile,toile de bretagne a voile,toile de bretagne a voile,bretagne toile voile
toile de Bretagne de ménage,toile de bretagne de ménage,toile de bretagne de menage,toile de bretagne de menage,bretagne menage toile
toile de Bretagne de Morlaix,toile de bretagne de morlaix,toile de bretagne de morlaix,toile de bretagne de morlaix,bretagne morlaix toile
toile de Bretagne entre large,toile de bretagne entre large,toile de bretagne entre large,toile de bretagne entre large,bretagne entre large toile
toile de coton diverse,toile de coton diverse,toile de coton diverse,toile de coton diverse,coton diverse toile
toile de halle,toile de halle,toile de halle,toile de halle,halle toile
toile étrangère,toile étrangère,toile etrangere,toile etrangere,etrangere toile
toile linge de tables,toile linge de tables,toile linge de tables,toile linge de tables,linge tables toile
vin des Canaries,vin des canaries,vin des canaries,vin des canaries,canaries vin
vitriol de Chypre,vitriol de chypre,vitriol de chypre,vitriol de chypre,chypre vitriol
barriques vieilles vides,barriques vieilles vides,barriques vieilles vides,barriques vieilles vides,barriques vides vieilles
bœuf fumé,bœuf fumé,boeuf fume,boeuf fume,boeuf fume
blé seigle,blé seigle,ble seigle,ble seigle,ble seigle
bois de buis,bois de buis,bois de buis,bois de buis,bois buis
bois de santal moulu,bois de santal moulu,bois de santal moulu,bois de santal moulu,bois moulu santal
bois espars,bois espars,bois espars,bois espars,bois espars
bourre du Levant,bourre du levant,bourre du levant,bourre du levant,bourre levant
bouteilles de verre,bouteilles de verre,bouteilles de verre,bouteilles de verre,bouteilles verre
carreaux de verre à vitre,carreaux de verre à vitre,carreaux de verre a vitre,carreaux de verre a vitre,carreaux verre vitre
café de Moka,café de moka,cafe de moka,cafe de moka,cafe moka
cendre potasse,cendre potasse,cendre potasse,cendre potasse,cendre potasse
céruse,céruse,ceruse,ceruse,ceruse
chapeaux castor,chapeaux castor,chapeaux castor,chapeaux castor,castor chapeaux
chapeaux poil et laine,chapeaux poil et laine,chapeaux poil et laine,chapeaux poil et laine,chapeaux laine poil
cochon salé,cochon salé,cochon sale,cochon sale,cochon sale
cuirs secs en poil,cuirs secs en poil,cuirs secs en poil,cuirs secs en poil,cuirs poil secs
cuirs verts en poil,cuirs verts en poil,cuirs verts en poil,cuirs verts en poil,cuirs poil verts
cuivre en feuilles,cuivre en feuilles,cuivre en feuilles,cuivre en feuilles,cuivre feuilles
drap cordeillat,drap cordeillat,drap cordeillat,drap cordeillat,cordeillat drap
drap de Van Robais,drap de van robais,drap de van robais,drap de van robais,drap robais van
drogues médicinales manne,drogues médicinales manne,drogues medicinales manne,drogues medicinales manne,drogues manne medicinales
eau de mélisse,eau de mélisse,eau de melisse,eau de melisse,eau melisse
epousterie,epousterie,epousterie,epousterie,epousterie
étain en bloc,étain en bloc,etain en bloc,etain en bloc,bloc etain
fer de fonte ouvré,fer de fonte ouvré,fer de fonte ouvre,fer de fonte ouvre,fer fonte ouvre
galon d'argent,galon d'argent,galon d'argent,galon d argent,argent galon
jais,jais,jais,jais,jais
lames d'épée,lames d'épée,lames d'epee,lames d epee,epee lames
langues de morue,langues de morue,langues de morue,langues de morue,langues morue
liège en bouchons,liège en bouchons,liege en bouchons,liege en bouchons,bouchons liege
mouchoirs de toile Cholet,mouchoirs de toile cholet,mouchoirs de toile cholet,mouchoirs de toile cholet,cholet mouchoirs toile
