name_orthographic,lowercase_name,typographic_cleaned_name
cuirs de bœuf tannés,cuirs de bœuf tannés,cuirs de boeuf tannes
morue sèche,morue sèche,morue seche
peaux de mouton apprêtées,peaux de mouton apprêtées,peaux de mouton appretees
toile à voile,toile à voile,toile a voile
plumes d'autruche apprêtées,plumes d'autruche apprêtées,plumes d'autruche appretees
cannettes de grès,cannettes de grès,cannettes de gres
merrains à barriques,merrains à barriques,merrains a barriques
poêles à frire,poêles à frire,poeles a frire
bois merrains à barriques,bois merrains à barriques,bois merrains a barriques
dame-jeannes,dame-jeannes,dame-jeannes
fer en poêles à frire,fer en poêles à frire,fer en poeles a frire
peaux de veau corroyées,peaux de veau corroyées,peaux de veau corroyees
toile guingans,toile guingans,toile guingans
bois du Brésil,bois du brésil,bois du bresil
bois de Pernambouc,bois de pernambouc,bois de pernambouc
huile d'olive,huile d'olive,huile d'olive
merrains à barriques en douelles,merrains à barriques en douelles,merrains a barriques en douelles
bois de Campêche,bois de campêche,bois de campeche
cuirs de bœuf en poil,cuirs de bœuf en poil,cuirs de boeuf en poil
harengs saurs,harengs saurs,harengs saurs
marchandises mêlées,marchandises mêlées,marchandises melees
peaux de veau apprêtées,peaux de veau apprêtées,peaux de veau appretees
bourre à bâtier,bourre à bâtier,bourre a batier
toile d'emballage,toile d'emballage,toile d'emballage
bois de Sainte-Marthe,bois de sainte-marthe,bois de sainte-marthe
poterie de grès,poterie de grès,poterie de gres
dents d'éléphant,dents d'éléphant,dents d'elephant
eau de la reine de Hongrie,eau de la reine de hongrie,eau de la reine de hongrie
peaux de veau tannées,peaux de veau tannées,peaux de veau tannees
pelleterie apprêtée,pelleterie apprêtée,pelleterie appretee
harengs blancs,harengs blancs,harengs blancs
peaux de chèvre apprêtées,peaux de chèvre apprêtées,peaux de chevre appretees
toile de coton,toile de coton,toile de coton
cornes à lanternes,cornes à lanternes,cornes a lanternes
térébenthine,térébenthine,terebenthine
toile batiste,toile batiste,toile batiste
bois à brûler,bois à brûler,bois a bruler
cassia lignea,cassia lignea,cassia lignea
cuirs de Russie,cuirs de russie,cuirs de russie
meules à aiguiser,meules à aiguiser,meules a aiguiser
baume de Copahu,baume de copahu,baume de copahu
cuirs de vache tannés,cuirs de vache tannés,cuirs de vache tannes
gomme adragant,gomme adragant,gomme adragant
huile de térébenthine,huile de térébenthine,huile de terebenthine
racines d'alizari,racines d'alizari,racines d'alizari
sel d'Epsom,sel d'epsom,sel d'epsom
écaille de tortue,écaille de tortue,ecaille de tortue
cuirs de vache corroyés,cuirs de vache corroyés,cuirs de vache corroyes
étoffe de soie,étoffe de soie,etoffe de soie
fer en tôle,fer en tôle,fer en tole
gomme du Sénégal,gomme du sénégal,gomme du senegal
graine de genièvre,graine de genièvre,graine de genievre
pierres à fusils,pierres à fusils,pierres a fusils
bœuf salé,bœuf salé,boeuf sale
bois merrains à barriques en douelles,bois merrains à barriques en douelles,bois merrains a barriques en douelles
chapeaux demi castor,chapeaux demi castor,chapeaux demi castor
cuirs de génisse corroyés,cuirs de génisse corroyés,cuirs de genisse corroyes
cuirs tannés,cuirs tannés,cuirs tannes
étain ouvré,étain ouvré,etain ouvre
fil de laiton,fil de laiton,fil de laiton
guingans,guingans,guingans
neganepeau,neganepeau,neganepeau
pipes à fumer,pipes à fumer,pipes a fumer
toile serpillière,toile serpillière,toile serpilliere
verres cristallins,verres cristallins,verres cristallins
bois merrains à pipes,bois merrains à pipes,bois merrains a pipes
coton filé,coton filé,coton file
faux à faucher,faux à faucher,faux a faucher
gomme élémi,gomme élémi,gomme elemi
merrains à pipes,merrains à pipes,merrains a pipes
chapeaux mi castor,chapeaux mi castor,chapeaux mi castor
coque du Levant,coque du levant,coque du levant
fromage de Hollande,fromage de hollande,fromage de hollande
Guinée bleue,guinée bleue,guinee bleue
huile de poisson,huile de poisson,huile de poisson
moulins à café,moulins à café,moulins a cafe
nattes de jonc,nattes de jonc,nattes de jonc
pierres à aiguiser,pierres à aiguiser,pierres a aiguiser
toile à carreaux,toile à carreaux,toile a carreaux
basanes tannées,basanes tannées,basanes tannees
chaises de commodité,chaises de commodité,chaises de commodite
chapeaux à nègre,chapeaux à nègre,chapeaux a negre
stockfish,stockfish,stockfish
merrains fonçaille,merrains fonçaille,merrains foncaille
meules à taillandier,meules à taillandier,meules a taillandier
morue verte,morue verte,morue verte
nicaneas,nicaneas,nicaneas
toile platille,toile platille,toile platille
yeux d'écrevisses,yeux d'écrevisses,yeux d'ecrevisses
baleine coupée,baleine coupée,baleine coupee
bois de simarouba,bois de simarouba,bois de simarouba
merrains à pipes en douelles,merrains à pipes en douelles,merrains a pipes en douelles
bouchons de liège,bouchons de liège,bouchons de liege
ipécacuanha,ipécacuanha,ipecacuanha
fromage de Gruyère,fromage de gruyère,fromage de gruyere
meules à coutelier,meules à coutelier,meules a coutelier
planches de chêne,planches de chêne,planches de chene
vin de Xérès,vin de xérès,vin de xeres
blé froment,blé froment,ble froment
boîtes de bergamotes,boîtes de bergamotes,boites de bergamotes
bois merrains à fonds,bois merrains à fonds,bois merrains a fonds
chanvre cru,chanvre cru,chanvre cru
dentelle du Puy,dentelle du puy,dentelle du puy
étoffe au quart de soie,étoffe au quart de soie,etoffe au quart de soie
fer en barres,fer en barres,fer en barres
fruits à l'eau-de-vie,fruits à l'eau-de-vie,fruits a l'eau-de-vie
graine de trèfle,graine de trèfle,graine de trefle
mouchoirs de romals,mouchoirs de romals,mouchoirs de romals
peaux de loup cervier,peaux de loup cervier,peaux de loup cervier
pierres à faux,pierres à faux,pierres a faux
pois verts,pois verts,pois verts
raisin sec,raisin sec,raisin sec
soie apprêtée,soie apprêtée,soie appretee
toile de Bretagne,toile de bretagne,toile de bretagne
toile de Saintonge,toile de saintonge,toile de saintonge
verres à vitre,verres à vitre,verres a vitre
baleine en fanon,baleine en fanon,baleine en fanon
bois de Caliatour,bois de caliatour,bois de caliatour
