name_orthographic,lowercase_name,typographic_cleaned_name
café des Îles,café des îles,cafe des iles
chair salée,chair salée,chair salee
drap de Louviers,drap de louviers,drap de louviers
fil à voile,fil à voile,fil a voile
fruits crus,fruits crus,fruits crus
peaux de chevreuil,peaux de chevreuil,peaux de chevreuil
peaux de martre,peaux de martre,peaux de martre
pelleterie commune,pelleterie commune,pelleterie commune
saumon salé,saumon salé,saumon sale
toile de Bretagne étroite,toile de bretagne étroite,toile de bretagne etroite
toile de chanvre,toile de chanvre,toile de chanvre
toile diverse,toile diverse,toile diverse
toile peinte,toile peinte,toile peinte
verres à boire,verres à boire,verres a boire
bois d'ébène,bois d'ébène,bois d'ebene
bois merrains,bois merrains,bois merrains
bordage de chêne,bordage de chêne,bordage de chene
clous de fer,clous de fer,clous de fer
eau de fleurs d'orange,eau de fleurs d'orange,eau de fleurs d'orange
espars,espars,espars
fil à sennes,fil à sennes,fil a sennes
filets à pêcher,filets à pêcher,filets a pecher
laque plate,laque plate,laque plate
mouchoirs de Pondichéry,mouchoirs de pondichéry,mouchoirs de pondichery
peignes de buis,peignes de buis,peignes de buis
plomb en saumon,plomb en saumon,plomb en saumon
plumes à écrire,plumes à écrire,plumes a ecrire
plumes d'autruche brutes,plumes d'autruche brutes,plumes d'autruche brutes
poivre giroflé,poivre giroflé,poivre girofle
rogues de stockfish,rogues de stockfish,rogues de stockfish
rogues de morue,rogues de morue,rogues de morue
toile caissie,toile caissie,toile caissie
toile de lin de Saint-Quentin,toile de lin de saint-quentin,toile de lin de saint-quentin
toile de lin diverse,toile de lin diverse,toile de lin diverse
toile d'étoupes,toile d'étoupes,toile d'etoupes
toile royale,toile royale,toile royale
vieux oint,vieux oint,vieux oint
vin de Chypre,vin de chypre,vin de chypre
bourre de bœuf,bourre de bœuf,bourre de boeuf
canefice,canefice,canefice
cordage d'espars,cordage d'espars,cordage d'espars
cornes de bœuf,cornes de bœuf,cornes de boeuf
corot,corot,corot
crème de tartre,crème de tartre,creme de tartre
pâte d'amandes,pâte d'amandes,pate d'amandes
pain d'épice,pain d'épice,pain d'epice
planches de Prusse,planches de prusse,planches de prusse
planches de sapin,planches de sapin,planches de sapin
pierres d'émeri,pierres d'émeri,pierres d'emeri
poudre à poudrer,poudre à poudrer,poudre a poudrer
toile blanche,toile blanche,toile blanche
toile de Hollande,toile de hollande,toile de hollande
bois de Campêche en bûches,bois de campêche en bûches,bois de campeche en buches
cendre gravelée,cendre gravelée,cendre gravelee
cercles à tonneaux,cercles à tonneaux,cercles a tonneaux
cirsaca,cirsaca,cirsaca
cire jaune,cire jaune,cire jaune
coton en laine,coton en laine,coton en laine
contra yerba,contra yerba,contra yerba
dents de morphil,dents de morphil,dents de morphil
douelles à tonneaux,douelles à tonneaux,douelles a tonneaux
eau-de-vie d'Hendaye,eau-de-vie d'hendaye,eau-de-vie d'hendaye
fleurs de soufre,fleurs de soufre,fleurs de soufre
graine de jardin,graine de jardin,graine de jardin
haches houes et serpes,haches houes et serpes,haches houes et serpes
inde plate,inde plate,inde plate
liège en planches,liège en planches,liege en planches
peaux de maroquins,peaux de maroquins,peaux de maroquins
pierres ponce,pierres ponce,pierres ponce
plumes à lit,plumes à lit,plumes a lit
poterie de grès barbançons,poterie de grès barbançons,poterie de gres barbancons
quincaille de fer et acier,quincaille de fer et acier,quincaille de fer et acier
rave de morue,rave de morue,rave de morue
toile killis,toile killis,toile killis
ustensiles de pêche,ustensiles de pêche,ustensiles de peche
aiguilles à coudre,aiguilles à coudre,aiguilles a coudre
amandes cassées,amandes cassées,amandes cassees
armes à feu fusils,armes à feu fusils,armes a feu fusils
asa foetida,asa foetida,asa foetida
balais de palme,balais de palme,balais de palme
barriques vides,barriques vides,barriques vides
bonneterie de laine,bonneterie de laine,bonneterie de laine
bourre de soie,bourre de soie,bourre de soie
cartes à jouer,cartes à jouer,cartes a jouer
chanvre peigné,chanvre peigné,chanvre peigne
couteaux flamands,couteaux flamands,couteaux flamands
drap d'Abbeville,drap d'abbeville,drap d'abbeville
drap d'Elbeuf,drap d'elbeuf,drap d'elbeuf
drap écarlate,drap écarlate,drap ecarlate
fer-blanc,fer-blanc,fer-blanc
guingans de Pondichéry,guingans de pondichéry,guingans de pondichery
gaze de soie,gaze de soie,gaze de soie
gomme sandarac,gomme sandarac,gomme sandarac
huile de lin,huile de lin,huile de lin
lignes à pêcher,lignes à pêcher,lignes a pecher
orge mondé,orge mondé,orge monde
papier Gênes fin,papier gênes fin,papier genes fin
peaux d'orignal,peaux d'orignal,peaux d'orignal
pelleterie du Canada,pelleterie du canada,pelleterie du canada
poisson salé,poisson salé,poisson sale
rouets à filer,rouets à filer,rouets a filer
sennes à pêcher,sennes à pêcher,sennes a pecher
suif en chandelle,suif en chandelle,suif en chandelle
tabac en feuilles,tabac en feuilles,tabac en feuilles
toile cirée,toile cirée,toile ciree
toile de Bretagne d'Olonne,toile de bretagne d'olonne,toile de bretagne d'olonne
toile de Bretagne rosconne,toile de bretagne rosconne,toile de bretagne rosconne
toile de coton des Indes,toile de coton des indes,toile de coton des indes
toile de lin blanche,toile de lin blanche,toile de lin blanche
toile de ménage,toile de ménage,toile de menage
toile siamoise,toile siamoise,toile siamoise
bas de soie,bas de soie,bas de soie
bois de gaïac,bois de gaïac,bois de gaiac
bourses à cheveux,bourses à cheveux,bourses a cheveux
brai sec,brai sec,brai sec
charbon de terre,charbon de terre,charbon de terre
chardons à drapier,chardons à drapier,chardons a drapier
cordeillat,cordeillat,cordeillat
couvertures de laine,couvertures de laine,couvertures de laine
gants de peau,gants de peau,gants de peau
goudron,goudron,goudron
gomme copale,gomme copale,gomme copale
herbes pérelle,herbes pérelle,herbes perelle
huile de girofle,huile de girofle,huile de girofle
laine filée,laine filée,laine filee
mercerie mêlée,mercerie mêlée,mercerie melee
meules à moulins,meules à moulins,meules a moulins
mouchoirs de Bengale,mouchoirs de bengale,mouchoirs de bengale
papier à bulle blanc,papier à bulle blanc,papier a bulle blanc
peaux de mouton en laine,peaux de mouton en laine,peaux de mouton en laine
peaux de veau en poil,peaux de veau en poil,peaux de veau en poil
pierres à rasoirs,pierres à rasoirs,pierres a rasoirs
rets à pêcher,rets à pêcher,rets a pecher
ruban de soie,ruban de soie,ruban de soie
sucre terré,sucre terré,sucre terre
toile Cholet,toile cholet,toile cholet
toile coutil,toile coutil,toile coutil
toile beurrière,toile beurrière,toile beurriere
toile de Bretagne large,toile de bretagne large,toile de bretagne large
toile de Bretagne de Fougères,toile de bretagne de fougères,toile de bretagne de fougeres
toile de Bretagne de Languenan,toile de bretagne de languenan,toile de bretagne de languenan
toile de Bretagne gratienne,toile de bretagne gratienne,toile de bretagne gratienne
toile de lin,toile de lin,toile de lin
???,???,???
aiguilles à voile,aiguilles à voile,aiguilles a voile
balais de jonc,balais de jonc,balais de jonc
barils vides,barils vides,barils vides
blé maïs,blé maïs,ble mais
bois de Campêche râpé,bois de campêche râpé,bois de campeche rape
bois de Caliatour moulu,bois de caliatour moulu,bois de caliatour moulu
bois merrains à pipes en douelles,bois merrains à pipes en douelles,bois merrains a pipes en douelles
bonnets de coton,bonnets de coton,bonnets de coton
brai gras,brai gras,brai gras
café du Levant,café du levant,cafe du levant
callemande,callemande,callemande
cannes à main,cannes à main,cannes a main
chaises de paille,chaises de paille,chaises de paille
chemises à nègre,chemises à nègre,chemises a negre
couffes à boulanger,couffes à boulanger,couffes a boulanger
cuirs de bœuf apprêtés,cuirs de bœuf apprêtés,cuirs de boeuf appretes
cuivre ouvré,cuivre ouvré,cuivre ouvre
dentelle de soie,dentelle de soie,dentelle de soie
drogues d'apothicaire,drogues d'apothicaire,drogues d'apothicaire
drap de Carcassonne,drap de carcassonne,drap de carcassonne
fil à coudre,fil à coudre,fil a coudre
fil à rets,fil à rets,fil a rets
fil d'étoupes,fil d'étoupes,fil d'etoupes
filets d'espars,filets d'espars,filets d'espars
graine de vers à soie,graine de vers à soie,graine de vers a soie
herbes capillaire,herbes capillaire,herbes capillaire
huile de Copahu,huile de copahu,huile de copahu
huile de morue,huile de morue,huile de morue
huile de navette,huile de navette,huile de navette
huile de rabette,huile de rabette,huile de rabette
laine de Ségovie,laine de ségovie,laine de segovie
laiton gratté,laiton gratté,laiton gratte
langues de bœuf,langues de bœuf,langues de boeuf
langues salées,langues salées,langues salees
merrains à barriques douelles,merrains à barriques douelles,merrains a barriques douelles
mèches à canons,mèches à canons,meches a canons
mouchoirs de soie,mouchoirs de soie,mouchoirs de soie
papier à écrire,papier à écrire,papier a ecrire
peaux de chèvre,peaux de chèvre,peaux de chevre
peaux d'agneau apprêtées,peaux d'agneau apprêtées,peaux d'agneau appretees
peaux de chèvre en poil,peaux de chèvre en poil,peaux de chevre en poil
peaux de loup de bois,peaux de loup de bois,peaux de loup de bois
peaux de mouton passées,peaux de mouton passées,peaux de mouton passees
pignons d'épines,pignons d'épines,pignons d'epines
plomb en grenaille,plomb en grenaille,plomb en grenaille
salemporis bleu,salemporis bleu,salemporis bleu
sucre têtes,sucre têtes,sucre tetes
soie crue,soie crue,soie crue
tabac du Brésil,tabac du brésil,tabac du bresil
toile à matelas,toile à matelas,toile a matelas
toile d'aman,toile d'aman,toile d'aman
toile de Bretagne à voile,toile de bretagne à voile,toile de bretagne a voile
toile de Bretagne de ménage,toile de bretagne de ménage,toile de bretagne de menage
toile de Bretagne de Morlaix,toile de bretagne de morlaix,toile de bretagne de morlaix
toile de Bretagne entre large,toile de bretagne entre large,toile de bretagne entre large
toile de coton diverse,toile de coton diverse,toile de coton diverse
toile de halle,toile de halle,toile de halle
toile étrangère,toile étrangère,toile etrangere
toile linge de tables,toile linge de tables,toile linge de tables
vin des Canaries,vin des canaries,vin des canaries
vitriol de Chypre,vitriol de chypre,vitriol de chypre
barriques vieilles vides,barriques vieilles vides,barriques vieilles vides
bœuf fumé,bœuf fumé,boeuf fume
blé seigle,blé seigle,ble seigle
bois de buis,bois de buis,bois de buis
bois de santal moulu,bois de santal moulu,bois de santal moulu
bois espars,bois espars,bois espars
bourre du Levant,bourre du levant,bourre du levant
bouteilles de verre,bouteilles de verre,bouteilles de verre
carreaux de verre à vitre,carreaux de verre à vitre,carreaux de verre a vitre
café de Moka,café de moka,cafe de moka
cendre potasse,cendre potasse,cendre potasse
céruse,céruse,ceruse
chapeaux castor,chapeaux castor,chapeaux castor
chapeaux poil et laine,chapeaux poil et laine,chapeaux poil et laine
cochon salé,cochon salé,cochon sale
cuirs secs en poil,cuirs secs en poil,cuirs secs en poil
cuirs verts en poil,cuirs verts en poil,cuirs verts en poil
cuivre en feuilles,cuivre en feuilles,cuivre en feuilles
drap cordeillat,drap cordeillat,drap cordeillat
drap de Van Robais,drap de van robais,drap de van robais
drogues médicinales manne,drogues médicinales manne,drogues medicinales manne
eau de mélisse,eau de mélisse,eau de melisse
epousterie,epousterie,epousterie
étain en bloc,étain en bloc,etain en bloc
fer de fonte ouvré,fer de fonte ouvré,fer de fonte ouvre
galon d'argent,galon d'argent,galon d'argent
jais,jais,jais
lames d'épée,lames d'épée,lames d'epee
langues de morue,langues de morue,langues de morue
liège en bouchons,liège en bouchons,liege en bouchons
mouchoirs de toile Cholet,mouchoirs de toile cholet,mouchoirs de toile cholet
noir de fumée,noir de fumée,noir de fumee
peaux d'agneau,peaux d'agneau,peaux d'agneau
peaux de loup marin,peaux de loup marin,peaux de loup marin
pierres à bâtir,pierres à bâtir,pierres a batir
poêles de fer,poêles de fer,poeles de fer
quincaille de fer,quincaille de fer,quincaille de fer
salemporis,salemporis,salemporis
sassafras,sassafras,sassafras
sapin à faire échelles,sapin à faire échelles,sapin a faire echelles
sapin à faire pioches,sapin à faire pioches,sapin a faire pioches
sel ammoniac,sel ammoniac,sel ammoniac
toile commune,toile commune,toile commune
toile d'Allemagne,toile d'allemagne,toile d'allemagne
toile de Bretagne à carreaux,toile de bretagne à carreaux,toile de bretagne a carreaux
toile de Bretagne crée large,toile de bretagne crée large,toile de bretagne cree large
toile de Bretagne de halle,toile de bretagne de halle,toile de bretagne de halle
toile écrue,toile écrue,toile ecrue
toile linge de tables serviettes,toile linge de tables serviettes,toile linge de tables serviettes
verres à boire communs,verres à boire communs,verres a boire communs
verres cassés,verres cassés,verres casses
vin de liqueurs,vin de liqueurs,vin de liqueurs
amandes en coque,amandes en coque,amandes en coque
baume du Pérou,baume du pérou,baume du perou
beurre salé,beurre salé,beurre sale
blanc de céruse,blanc de céruse,blanc de ceruse
blé d'Inde,blé d'inde,ble d'inde
bois à bâtir,bois à bâtir,bois a batir
bois de Campêche moulu,bois de campêche moulu,bois de campeche moulu
cocons de soie,cocons de soie,cocons de soie
carreaux de pierre,carreaux de pierre,carreaux de pierre
cendre d'orfèvre,cendre d'orfèvre,cendre d'orfevre
colle de poisson,colle de poisson,colle de poisson
cordouans,cordouans,cordouans
cuirs de cheval tannés,cuirs de cheval tannés,cuirs de cheval tannes
cuivre tangoul,cuivre tangoul,cuivre tangoul
cuisses d'oie,cuisses d'oie,cuisses d'oie
cuivre en planches,cuivre en planches,cuivre en planches
cuivre en rosette,cuivre en rosette,cuivre en rosette
dame-jeannes de verre,dame-jeannes de verre,dame-jeannes de verre
dentelle de fil,dentelle de fil,dentelle de fil
douelles à barriques,douelles à barriques,douelles a barriques
drap de Silésie,drap de silésie,drap de silesie
draperie petite,draperie petite,draperie petite
drogues médicinales séné,drogues médicinales séné,drogues medicinales sene
écaille de cahouanne,écaille de cahouanne,ecaille de cahouanne
escayolles,escayolles,escayolles
esprit de bergamote,esprit de bergamote,esprit de bergamote
étoffe mi soie,étoffe mi soie,etoffe mi soie
fer en plaques,fer en plaques,fer en plaques
fer ouvré,fer ouvré,fer ouvre
fil de caret,fil de caret,fil de caret
filets pour la pêche,filets pour la pêche,filets pour la peche
follicule de séné,follicule de séné,follicule de sene
forme de terre à sucre,forme de terre à sucre,forme de terre a sucre
fottes,fottes,fottes
graine de lin,graine de lin,graine de lin
girofle,girofle,girofle
gomme ammoniac,gomme ammoniac,gomme ammoniac
gomme laque,gomme laque,gomme laque
huile de baleine,huile de baleine,huile de baleine
huile de graine,huile de graine,huile de graine
joncs à faire chaises,joncs à faire chaises,joncs a faire chaises
laine de chevrons,laine de chevrons,laine de chevrons
laine de Carmenie,laine de carmenie,laine de carmenie
laiton en feuilles,laiton en feuilles,laiton en feuilles
lin cru,lin cru,lin cru
lin peigné,lin peigné,lin peigne
mouchoirs de Cholet,mouchoirs de cholet,mouchoirs de cholet
mouchoirs de coton,mouchoirs de coton,mouchoirs de coton
oignons de fleurs,oignons de fleurs,oignons de fleurs
pain à cacheter,pain à cacheter,pain a cacheter
peaux de cerf,peaux de cerf,peaux de cerf
planches de sapin communes,planches de sapin communes,planches de sapin communes
poil de chèvre filé,poil de chèvre filé,poil de chevre file
salsepareille,salsepareille,salsepareille
sucre brut,sucre brut,sucre brut
sel de Glauber,sel de glauber,sel de glauber
sirop d'alkermès,sirop d'alkermès,sirop d'alkermes
toile à serviettes,toile à serviettes,toile a serviettes
toile blancard,toile blancard,toile blancard
toile bleue,toile bleue,toile bleue
toile crue,toile crue,toile crue
toile de lin batiste,toile de lin batiste,toile de lin batiste
toile de lin de Laval,toile de lin de laval,toile de lin de laval
toile fil et coton,toile fil et coton,toile fil et coton
trenelle d'espars,trenelle d'espars,trenelle d'espars
vert-de-gris,vert-de-gris,vert-de-gris
vin de Côte-Rotie,vin de côte-rotie,vin de cote-rotie
armes à feu pistolets,armes à feu pistolets,armes a feu pistolets
bas de filoselle,bas de filoselle,bas de filoselle
bas d'estame,bas d'estame,bas d'estame
bœuf en vie,bœuf en vie,boeuf en vie
beurre,beurre,beurre
bois merrains en douelles,bois merrains en douelles,bois merrains en douelles
cabillaud,cabillaud,cabillaud
cardamome,cardamome,cardamome
café d'Amérique,café d'amérique,cafe d'amerique
café de Bourbon,café de bourbon,cafe de bourbon
cannettes d'étain,cannettes d'étain,cannettes d'etain
caves garnies,caves garnies,caves garnies
cire à cacheter,cire à cacheter,cire a cacheter
couperose verte,couperose verte,couperose verte
cuirs de génisse,cuirs de génisse,cuirs de genisse
cuirs en poil,cuirs en poil,cuirs en poil
drap du Languedoc,drap du languedoc,drap du languedoc
drap londrin,drap londrin,drap londrin
drogues médicinales diverses,drogues médicinales diverses,drogues medicinales diverses
drogues médicinales safran,drogues médicinales safran,drogues medicinales safran
écorce de chêne,écorce de chêne,ecorce de chene
étoffe de laine,étoffe de laine,etoffe de laine
futailles vides,futailles vides,futailles vides
ferrements,ferrements,ferrements
fer en ancres,fer en ancres,fer en ancres
fer en chaudière,fer en chaudière,fer en chaudiere
fer en feuillards,fer en feuillards,fer en feuillards
fer en verges,fer en verges,fer en verges
fil de Rennes,fil de rennes,fil de rennes
fléaux de fer,fléaux de fer,fleaux de fer
fleurs artificielles,fleurs artificielles,fleurs artificielles
fruits secs,fruits secs,fruits secs
gants lisérés de soie,gants lisérés de soie,gants liseres de soie
gomme gutte,gomme gutte,gomme gutte
graine à chapelets,graine à chapelets,graine a chapelets
graine de canarie,graine de canarie,graine de canarie
graine de choux,graine de choux,graine de choux
graine de moutarde,graine de moutarde,graine de moutarde
huile de vitriol,huile de vitriol,huile de vitriol
huile d'olive fine,huile d'olive fine,huile d'olive fine
instruments de musique,instruments de musique,instruments de musique
laine d'agnelin,laine d'agnelin,laine d'agnelin
langues de bœuf salées,langues de bœuf salées,langues de boeuf salees
maquereaux salés,maquereaux salés,maquereaux sales
merrains à quarts,merrains à quarts,merrains a quarts
merrains à quarts en douelles,merrains à quarts en douelles,merrains a quarts en douelles
marbre ouvré,marbre ouvré,marbre ouvre
marchandises à l'estimation,marchandises à l'estimation,marchandises a l'estimation
mine de plomb,mine de plomb,mine de plomb
mouchoirs de Masulipatan,mouchoirs de masulipatan,mouchoirs de masulipatan
mouchoirs de Rouen,mouchoirs de rouen,mouchoirs de rouen
ornements d'église,ornements d'église,ornements d'eglise
parapluies,parapluies,parapluies
pareira brava,pareira brava,pareira brava
peaux de chamois,peaux de chamois,peaux de chamois
peaux de daim,peaux de daim,peaux de daim
peaux pelleterie apprêtées,peaux pelleterie apprêtées,peaux pelleterie appretees
peaux de lièvre,peaux de lièvre,peaux de lievre
peignes d'ivoire,peignes d'ivoire,peignes d'ivoire
pierres bleues,pierres bleues,pierres bleues
planches de chêne de 12 pieds,planches de chêne de 12 pieds,planches de chene de 12 pieds
planches de sapin de 10 pieds,planches de sapin de 10 pieds,planches de sapin de 10 pieds
poil de chameau,poil de chameau,poil de chameau
poudre à tirer,poudre à tirer,poudre a tirer
poudre d'Ailhaud,poudre d'ailhaud,poudre d'ailhaud
ruban de fil,ruban de fil,ruban de fil
roues à cabrouets,roues à cabrouets,roues a cabrouets
sardines salées,sardines salées,sardines salees
sapin à faire comble,sapin à faire comble,sapin a faire comble
sel de Saturne,sel de saturne,sel de saturne
sirop mélasse,sirop mélasse,sirop melasse
soie tani,soie tani,soie tani
tabac en carotte,tabac en carotte,tabac en carotte
tabatières d'écaille,tabatières d'écaille,tabatieres d'ecaille
terre à potier,terre à potier,terre a potier
toile basin,toile basin,toile basin
toile de Bretagne de Combourg,toile de bretagne de combourg,toile de bretagne de combourg
toile de Bretagne diverse,toile de bretagne diverse,toile de bretagne diverse
toile de Laval,toile de laval,toile de laval
toile de lin de Rouen,toile de lin de rouen,toile de lin de rouen
toile de Morlaix,toile de morlaix,toile de morlaix
toile de Rouen,toile de rouen,toile de rouen
toile rosconne,toile rosconne,toile rosconne
truffes sèches,truffes sèches,truffes seches
vermicelle,vermicelle,vermicelle
verres communs,verres communs,verres communs
vin d'Alicante,vin d'alicante,vin d'alicante
vin de Bourgogne de Nuits,vin de bourgogne de nuits,vin de bourgogne de nuits
vin de Champagne,vin de champagne,vin de champagne
vin de Champagne de Châlon,vin de champagne de châlon,vin de champagne de chalon
vin de Frontignan,vin de frontignan,vin de frontignan
vin de Madère,vin de madère,vin de madere
vin de Ré,vin de ré,vin de re
vin du Rhin,vin du rhin,vin du rhin
vin muscat,vin muscat,vin muscat
atchiabanis,atchiabanis,atchiabanis
agrément de soie,agrément de soie,agrement de soie
alquifoux,alquifoux,alquifoux
anis vert,anis vert,anis vert
artichauts confits,artichauts confits,artichauts confits
bajutapau,bajutapau,bajutapau
barriques vieilles,barriques vieilles,barriques vieilles
barres d'anspects,barres d'anspects,barres d'anspects
bois de fustel,bois de fustel,bois de fustel
batanomes,batanomes,batanomes
bêtes de somme chevaux,bêtes de somme chevaux,betes de somme chevaux
bois à teindre en bûches,bois à teindre en bûches,bois a teindre en buches
bois de chêne,bois de chêne,bois de chene
bois de construction,bois de construction,bois de construction
bois de girofle,bois de girofle,bois de girofle
bois de rose,bois de rose,bois de rose
bois de santal,bois de santal,bois de santal
bonneterie de coton,bonneterie de coton,bonneterie de coton
bonneterie diverse,bonneterie diverse,bonneterie diverse
boulets de canons,boulets de canons,boulets de canons
brai goudron,brai goudron,brai goudron
canevettes,canevettes,canevettes
carreaux de terre,carreaux de terre,carreaux de terre
cannettes de terre,cannettes de terre,cannettes de terre
chasselas,chasselas,chasselas
cendre bleue,cendre bleue,cendre bleue
chaudière de fer,chaudière de fer,chaudiere de fer
chanvre en rames,chanvre en rames,chanvre en rames
chapeaux communs,chapeaux communs,chapeaux communs
chocolat,chocolat,chocolat
chevaux poulains,chevaux poulains,chevaux poulains
clous dorés,clous dorés,clous dores
cochenille mestèque,cochenille mestèque,cochenille mesteque
colle forte,colle forte,colle forte
corbeilles d'osier,corbeilles d'osier,corbeilles d'osier
cordage de chanvre,cordage de chanvre,cordage de chanvre
cordes à violons,cordes à violons,cordes a violons
cornes plates,cornes plates,cornes plates
cuirs dorés,cuirs dorés,cuirs dores
cuirs de bœuf,cuirs de bœuf,cuirs de boeuf
cuirs de vache de Russie,cuirs de vache de russie,cuirs de vache de russie
