key_id,fr,en
00000002,Passagers,Passenger
00000013,Diverses marchandises,Sundries
00000027,Blé,Wheat
00000038,Pommes,Apple
00000040,Marchandises,Goods
00000043,Vin,Wine
00000051,Bois,Wood
00000053,Lard salé,Bacon
00000055,Laine,Wool
00000066,Soude,Soda
00000068,Planches,Plank
00000070,Charbon,Coal
00000071,Charbon de bois,Charcoal
00000074,Huile,Oil
00000075,Poisson,Fish
00000078,Lin,Flax
00000084,Biscuits,Biscuit
00000090,Vinaigre,Vinegar
00000093,Orge,Barley
00000094,Lest,Ballast
00000095,Avoine,Oats
00000097,Fruits,Fruit
00000098,Chanvre,Hemp
00000101,Coton,Cotton
00000106,Moutarde,Mustard
00000110,Fromage,Cheese
00000122,Seigle,Rye
00000124,Farine,Flour
00000125,Haricots blancs,Beans
00000126,Morue,Cod
00000129,Sel,Salt
00000130,Vivres,Food
00000135,Savon,Soap
00000138,Café,Coffee
00000145,Suif,Tallow
00000147,Sucre,Sugar
00000151,Meubles,Furniture
00000167,Huitres,Oysters
00000171,Cuivre,Copper
00000183,Pois,Peas
00000186,Vaches,Cow
00000201,Eau-de-vie,Brandy
00000203,Bois à brûler,Firewood
00000205,Ail,Garlic
00000208,Voiles,Sail
00000213,Graines de lin,Linseed
00000234,Bois de construction,Timber
00000235,Charbon de terre,Earth coal
00000240,Pêche à la morue,Fishing (cod)
00000241,Terre,Earth
00000242,Futailles vides,Cask (empty)
00000254,Sardines,Pilchard
00000257,Bois merrain,Stave wood
00000258,Huile de poisson,Fish oil
00000259,Pêche au poisson frais,Coastal fishing
00000280,Pêche à la sardine,Fishing (pilchard)
00000281,Ustensiles de pêche,Fishing implements
00000282,Marchandises d'un naufrage,Shipwreck belongings
00000295,Fer,Iron
00000298,Fèves,Broad bean
00000303,Brai,Pitch
00000305,Goudron,Tar
00000327,Moules ,Mussels
00000328,Pêche des moules,Fishing (mussel)
00000354,Bière,Beer
00000356,Marchandises permises,Sundries (allowed)
00000361,Morue verte,Green cod
00000362,Sardines salées,Salted pilchard
00000363,Sardines pressées de Bretagne,Pressed pilchard
00000379,Beurre,Butter
00000414,Fagots,Faggots
00000419,Cercles,Hoops
00000420,Oignons,Onions
00000431,Morue sèche,Dryed cod
00000444,Froment,Wheat
00000469,Vide,Empty
00000470,à l'aventure,Coastal tramping
00000491,Son,Bran
00000512,Grain,Grain
00000522,Résine,Resin
00000524,Cendre,Ashes
00000542,Chaux,Lime
00000546,Briques,Bricks
00000548,Fourrage,Fodder
00000553,Pierre de taille,Building stone
00000566,Vieux Fer,Iron (scraps)
00000580,Vieux cordages,Rope (wasted)
00000581,Poudre à canon,Gunpowder
00000589,Bouteilles ,Bottle
00000590,Canons,Cannon
00000601,Bois de chauffage,Firewood (heating)
00000606,Cendre de varech,Ashes (seaweed)
00000616,Feuillard,Hoop wood
00000617,Plâtre,Plaster
00000621,Carreaux,Stone tiles
00000630,Pierres,Stone
00000634,Poterie,Earthenware
00001274,Echalotte,Shallot
00001275,Faïence,Faience
00001276,Méture,Maslin
00001277,Noix,Walnuts
00001278,Lentilles,Lentils
00001279,Peaux de bœuf,Skin (oxen)
00001280,Vinatérie,Mixed breverage (generic)
00001281,Poisson sec,Dry fish
00001282,Tuilles,Tile
00001283,Ardoises,Slate
00001284,Salaisons,Salted food products
00001285,Terre de Broue [pour verrerie],Broue earth [for glassmaking]
00001287,Gréments de navire,Vessel rigging
00001288,Meule de moulin,Millstone
00001289,Verge de moulin,Windmill blade
00001290,Pêche des moules et du poisson frais,Mussel and coastal fishing
00001291,Vesces,Grass pea
00001292,Fumier,Manure
00001293,Hardes de mer,Sailor's belongings
00001294,Hardes,Personal Cloth
00001295,Etoupe,Tow
00001296,Marchandises pour la traite négrière,Slave trade cargo
00001297,Verre cassé,Glass (broken)
00001298,Turbe,Peat
00001299,Copeaux et pièces de bois,Wood piece or chip
00001300,Bordage,Ship planking
00001301,Cérises,Cherry
