name_orthographic,lowercase_name
lin cru,lin cru
lin peigné,lin peigné
mouchoirs de Cholet,mouchoirs de cholet
mouchoirs de coton,mouchoirs de coton
oignons de fleurs,oignons de fleurs
pain à cacheter,pain à cacheter
peaux de cerf,peaux de cerf
planches de sapin communes,planches de sapin communes
poil de chèvre filé,poil de chèvre filé
salsepareille,salsepareille
sucre brut,sucre brut
sel de Glauber,sel de glauber
sirop d'alkermès,sirop d'alkermès
toile à serviettes,toile à serviettes
toile blancard,toile blancard
toile bleue,toile bleue
toile crue,toile crue
toile de lin batiste,toile de lin batiste
toile de lin de Laval,toile de lin de laval
toile fil et coton,toile fil et coton
trenelle d'espars,trenelle d'espars
vert-de-gris,vert-de-gris
vin de Côte-Rotie,vin de côte-rotie
armes à feu pistolets,armes à feu pistolets
bas de filoselle,bas de filoselle
bas d'estame,bas d'estame
bœuf en vie,bœuf en vie
beurre,beurre
bois merrains en douelles,bois merrains en douelles
cabillaud,cabillaud
cardamome,cardamome
café d'Amérique,café d'amérique
café de Bourbon,café de bourbon
cannettes d'étain,cannettes d'étain
caves garnies,caves garnies
cire à cacheter,cire à cacheter
couperose verte,couperose verte
cuirs de génisse,cuirs de génisse
cuirs en poil,cuirs en poil
drap du Languedoc,drap du languedoc
drap londrin,drap londrin
drogues médicinales diverses,drogues médicinales diverses
drogues médicinales safran,drogues médicinales safran
écorce de chêne,écorce de chêne
étoffe de laine,étoffe de laine
futailles vides,futailles vides
ferrements,ferrements
fer en ancres,fer en ancres
fer en chaudière,fer en chaudière
fer en feuillards,fer en feuillards
fer en verges,fer en verges
fil de Rennes,fil de rennes
fléaux de fer,fléaux de fer
fleurs artificielles,fleurs artificielles
fruits secs,fruits secs
gants lisérés de soie,gants lisérés de soie
gomme gutte,gomme gutte
graine à chapelets,graine à chapelets
graine de canarie,graine de canarie
graine de choux,graine de choux
graine de moutarde,graine de moutarde
huile de vitriol,huile de vitriol
huile d'olive fine,huile d'olive fine
instruments de musique,instruments de musique
laine d'agnelin,laine d'agnelin
langues de bœuf salées,langues de bœuf salées
maquereaux salés,maquereaux salés
merrains à quarts,merrains à quarts
merrains à quarts en douelles,merrains à quarts en douelles
marbre ouvré,marbre ouvré
marchandises à l'estimation,marchandises à l'estimation
mine de plomb,mine de plomb
mouchoirs de Masulipatan,mouchoirs de masulipatan
mouchoirs de Rouen,mouchoirs de rouen
ornements d'église,ornements d'église
parapluies,parapluies
pareira brava,pareira brava
peaux de chamois,peaux de chamois
peaux de daim,peaux de daim
peaux pelleterie apprêtées,peaux pelleterie apprêtées
peaux de lièvre,peaux de lièvre
peignes d'ivoire,peignes d'ivoire
pierres bleues,pierres bleues
planches de chêne de 12 pieds,planches de chêne de 12 pieds
planches de sapin de 10 pieds,planches de sapin de 10 pieds
poil de chameau,poil de chameau
poudre à tirer,poudre à tirer
poudre d'Ailhaud,poudre d'ailhaud
ruban de fil,ruban de fil
roues à cabrouets,roues à cabrouets
sardines salées,sardines salées
sapin à faire comble,sapin à faire comble
sel de Saturne,sel de saturne
sirop mélasse,sirop mélasse
soie tani,soie tani
tabac en carotte,tabac en carotte
tabatières d'écaille,tabatières d'écaille
terre à potier,terre à potier
toile basin,toile basin
toile de Bretagne de Combourg,toile de bretagne de combourg
toile de Bretagne diverse,toile de bretagne diverse
toile de Laval,toile de laval
toile de lin de Rouen,toile de lin de rouen
toile de Morlaix,toile de morlaix
toile de Rouen,toile de rouen
toile rosconne,toile rosconne
truffes sèches,truffes sèches
vermicelle,vermicelle
verres communs,verres communs
vin d'Alicante,vin d'alicante
vin de Bourgogne de Nuits,vin de bourgogne de nuits
vin de Champagne,vin de champagne
vin de Champagne de Châlon,vin de champagne de châlon
vin de Frontignan,vin de frontignan
vin de Madère,vin de madère
vin de Ré,vin de ré
vin du Rhin,vin du rhin
vin muscat,vin muscat
atchiabanis,atchiabanis
agrément de soie,agrément de soie
alquifoux,alquifoux
anis vert,anis vert
artichauts confits,artichauts confits
bajutapau,bajutapau
barriques vieilles,barriques vieilles
barres d'anspects,barres d'anspects
bois de fustel,bois de fustel
batanomes,batanomes
bêtes de somme chevaux,bêtes de somme chevaux
bois à teindre en bûches,bois à teindre en bûches
bois de chêne,bois de chêne
bois de construction,bois de construction
bois de girofle,bois de girofle
bois de rose,bois de rose
bois de santal,bois de santal
bonneterie de coton,bonneterie de coton
bonneterie diverse,bonneterie diverse
boulets de canons,boulets de canons
brai goudron,brai goudron
canevettes,canevettes
carreaux de terre,carreaux de terre
cannettes de terre,cannettes de terre
chasselas,chasselas
cendre bleue,cendre bleue
chaudière de fer,chaudière de fer
chanvre en rames,chanvre en rames
chapeaux communs,chapeaux communs
chocolat,chocolat
chevaux poulains,chevaux poulains
clous dorés,clous dorés
cochenille mestèque,cochenille mestèque
colle forte,colle forte
corbeilles d'osier,corbeilles d'osier
cordage de chanvre,cordage de chanvre
cordes à violons,cordes à violons
cornes plates,cornes plates
cuirs dorés,cuirs dorés
cuirs de bœuf,cuirs de bœuf
cuirs de vache de Russie,cuirs de vache de russie
cuirs de vache en poil,cuirs de vache en poil
dissouchaye,dissouchaye
drap d'Arnetal,drap d'arnetal
drogues médicinales crème de tartre,drogues médicinales crème de tartre
eau-de-vie,eau-de-vie
espars de sapin,espars de sapin
étoffe de coton,étoffe de coton
faïence,faïence
faïence en vaisselle,faïence en vaisselle
fer-blanc simple,fer-blanc simple
fer en batterie,fer en batterie
flacons de verre,flacons de verre
fourrure de soie,fourrure de soie
fruits cuits,fruits cuits
fusils boucaniers,fusils boucaniers
galon d'or,galon d'or
gobelets de cristal,gobelets de cristal
gomme arabique,gomme arabique
gomme thurique,gomme thurique
huile à brûler,huile à brûler
huile de noix,huile de noix
jaune de Naples,jaune de naples
laine peignée,laine peignée
litharge,litharge
merrains à pipes douelles,merrains à pipes douelles
manches de gaffes,manches de gaffes
manne de Calabre,manne de calabre
marmites de fer,marmites de fer
meules bâtardes,meules bâtardes
mouchoirs de fil,mouchoirs de fil
mouchoirs des Indes,mouchoirs des indes
nicaneas petits,nicaneas petits
ouate,ouate
planches de sapin de 18 pieds,planches de sapin de 18 pieds
papier commun,papier commun
papier d'estrasse,papier d'estrasse
peaux de Russie,peaux de russie
peaux de daim apprêtées,peaux de daim apprêtées
pierres de Saint-Cast,pierres de saint-cast
plants de mûriers,plants de mûriers
plumes d'oie,plumes d'oie
poêles à feu,poêles à feu
pois de Bourgogne,pois de bourgogne
pois secs,pois secs
poisson frit,poisson frit
poix résines,poix résines
poterie de terre,poterie de terre
raz de Saint-Maur,raz de saint-maur
raisin de Corinthe,raisin de corinthe
raz du Maroc,raz du maroc
safranum,safranum
sel du Poulinguen,sel du poulinguen
sel médicinal,sel médicinal
simarouba,simarouba
semen contra,semen contra
sirop de capillaire,sirop de capillaire
soliveaux de sapin,soliveaux de sapin
soliveaux de chêne,soliveaux de chêne
sucre cassonade,sucre cassonade
sucre en pain,sucre en pain
sucre raffiné,sucre raffiné
thériaque,thériaque
thon mariné,thon mariné
toile grosse,toile grosse
toile abat,toile abat
toile cottray,toile cottray
toile d'Antioche,toile d'antioche
toile de Cambrai,toile de cambrai
toile de chanvre diverse,toile de chanvre diverse
toile de coton blanche,toile de coton blanche
toile des Indes,toile des indes
toile de lin de Beauvais,toile de lin de beauvais
toile de Suisse,toile de suisse
toile d'étoupes de lin,toile d'étoupes de lin
toile rayée,toile rayée
tripe de velours,tripe de velours
verres communs à boire,verres communs à boire
verres de cristal,verres de cristal
verres en dame-jeannes,verres en dame-jeannes
vin de Bordeaux de ville,vin de bordeaux de ville
vin de Bourgogne,vin de bourgogne
vin du Languedoc,vin du languedoc
vin de Malaga,vin de malaga
vin de Saintonge,vin de saintonge
vin d'Espagne de Madère,vin d'espagne de madère
vin français,vin français
vin nantais,vin nantais
ains à pêcher,ains à pêcher
barbançons de grès,barbançons de grès
barriques en bottes,barriques en bottes
bas de coton,bas de coton
bois des Indes,bois des indes
bœuf à la daube,bœuf à la daube
boîtes de bois,boîtes de bois
bois d'acajou en madriers,bois d'acajou en madriers
bois jaune,bois jaune
bois merrains à tonneaux,bois merrains à tonneaux
bois merrains douelles,bois merrains douelles
bonnets de laine,bonnets de laine
bonneterie de soie,bonneterie de soie
bourses de soie,bourses de soie
boutons de fil or et argent,boutons de fil or et argent
boutons de coco,boutons de coco
boyaux salés,boyaux salés
brai et goudron,brai et goudron
caves garnies de 6 flacons,caves garnies de 6 flacons
cercles de bois,cercles de bois
cervelas,cervelas
chaises de jonc,chaises de jonc
chair salée jambon,chair salée jambon
chapeaux vigogne,chapeaux vigogne
chemises garnies,chemises garnies
chevrons de sapin,chevrons de sapin
cruches de grès,cruches de grès
vin d'Espagne,vin d'espagne
colliers de perles fausses,colliers de perles fausses
cornes de cerf,cornes de cerf
couffins d'espars,couffins d'espars
couvertures d'étoupes,couvertures d'étoupes
crics,crics
culottes de peau,culottes de peau
dame-jeannes clissées,dame-jeannes clissées
dentelle de fil du Puy,dentelle de fil du puy
drap de Sedan,drap de sedan
drogues médicinales jus de réglisse,drogues médicinales jus de réglisse
drogues médicinales quinquina,drogues médicinales quinquina
drogues médicinales salsepareille,drogues médicinales salsepareille
eau-de-vie de genièvre,eau-de-vie de genièvre
écorce de citron,écorce de citron
épicerie diverse,épicerie diverse
scammonée,scammonée
étamine du Mans,étamine du mans
étoffe de laine diverse,étoffe de laine diverse
étoffe de soie diverse,étoffe de soie diverse
éventails communs,éventails communs
fer vieux,fer vieux
fer en marmites,fer en marmites
fruits verts,fruits verts
fusils de traite,fusils de traite
gaze à peu de soie,gaze à peu de soie
grabeau de séné,grabeau de séné
gobelets de verre,gobelets de verre
graine de luzerne,graine de luzerne
graine de millet,graine de millet
graine jaune,graine jaune
harengs fumés,harengs fumés
harnais de chevaux,harnais de chevaux
huile d'aspic,huile d'aspic
huile d'olive commune,huile d'olive commune
laine lavée,laine lavée
langues fourrées,langues fourrées
légumes fèves,légumes fèves
manne,manne
marchandises de modes,marchandises de modes
mors de brides,mors de brides
mèches,mèches
médicaments,médicaments
métiers à faire bas,métiers à faire bas
moulins à maïs,moulins à maïs
nacre de perles,nacre de perles
nattes de paille,nattes de paille
nicaneas grands,nicaneas grands
orpiment,orpiment
papier blanc,papier blanc
papier peint,papier peint
parasols,parasols
parfumerie pommade,parfumerie pommade
peaux d'agneau en laine,peaux d'agneau en laine
peaux de chien de mer,peaux de chien de mer
peaux de chevreau,peaux de chevreau
peaux de renard,peaux de renard
pelleterie crue,pelleterie crue
pierres de Malte,pierres de malte
pinceaux à goudronner,pinceaux à goudronner
planches de chêne de 10 pieds,planches de chêne de 10 pieds
prunes de Sainte-Catherine,prunes de sainte-catherine
poisson frais,poisson frais
porcs salés,porcs salés
quincaille de cuivre,quincaille de cuivre
racines d'angélique,racines d'angélique
résines de jalap,résines de jalap
rais de charrues,rais de charrues
rognons de castor,rognons de castor
ruban de fleuret,ruban de fleuret
sel gemme,sel gemme
soie à coudre,soie à coudre
soie Nankin,soie nankin
sucre candi,sucre candi
sucre têtes de forme,sucre têtes de forme
tabatières d'olivier,tabatières d'olivier
tapisserie de haute lice,tapisserie de haute lice
terra merita,terra merita
terre à pipes,terre à pipes
terre d'ombre,terre d'ombre
thé bou,thé bou
tuiles,tuiles
toile de crin,toile de crin
toile caladaris,toile caladaris
toile canevas,toile canevas
toile crée large,toile crée large
toile de Bretagne de haut brin,toile de bretagne de haut brin
toile de Bretagne rondelette,toile de bretagne rondelette
toile de Cholet,toile de cholet
toile de chanvre à voile,toile de chanvre à voile
toile de Mortagne,toile de mortagne
toile d'étoupes de chanvre,toile d'étoupes de chanvre
toile linon,toile linon
toile manouf,toile manouf
toile mêlée,toile mêlée
toile non battue,toile non battue
vaisselle d'argent,vaisselle d'argent
vin de Bordeaux,vin de bordeaux
vin de Bordeaux de Blaye,vin de bordeaux de blaye
vin de Sainte-Foy,vin de sainte-foy
vin d'Orléans,vin d'orléans
argent vif,argent vif
azur commun,azur commun
alambics d'étain,alambics d'étain
alibanies,alibanies
hamacs,hamacs
anguilles salées,anguilles salées
anis étoilé,anis étoilé
armes à feu,armes à feu
baleine de sarde,baleine de sarde
barres de cabestan,barres de cabestan
bassin d'étain,bassin d'étain
baume de la Mecque,baume de la mecque
bdellium,bdellium
bœuf à l'écarlate,bœuf à l'écarlate
blanc de baleine,blanc de baleine
blanc d'Espagne,blanc d'espagne
blé sarrasin,blé sarrasin
boîtes de sapin,boîtes de sapin
bois des Îles et des Indes,bois des îles et des indes
bois pour cribles,bois pour cribles
bois scié,bois scié
bouteilles de verre clissées,bouteilles de verre clissées
boutons d'étain,boutons d'étain
cannelle,cannelle
cannes de jonc,cannes de jonc
canevettes de grès,canevettes de grès
chapeaux de paille,chapeaux de paille
cardes à carder,cardes à carder
carouge,carouge
carreaux de marbre,carreaux de marbre
cartes marines,cartes marines
caves garnies de 12 flacons,caves garnies de 12 flacons
cendre de houille,cendre de houille
cercles à barils,cercles à barils
chair salée diverse,chair salée diverse
charrues,charrues
chauffe-pieds,chauffe-pieds
chevaux juments,chevaux juments
cuivre en chaudron,cuivre en chaudron
citrons confits,citrons confits
clous de girofle,clous de girofle
confection d'hyacinthe,confection d'hyacinthe
coutil,coutil
couperose,couperose
couvertures de coton,couvertures de coton
couteaux à gaine,couteaux à gaine
couteaux communs,couteaux communs
couvertures à nègre,couvertures à nègre
couvertures de plocq,couvertures de plocq
creusets,creusets
crin frisé,crin frisé
cuirs tannés de bœuf,cuirs tannés de bœuf
cuivre en bassin,cuivre en bassin
cuivre en chaudière,cuivre en chaudière
dentelle de fil blanc,dentelle de fil blanc
drap divers,drap divers
drap d'Andelys,drap d'andelys
drap de lit,drap de lit
drap de Vire,drap de vire
drogues médicinales ipécacuanha,drogues médicinales ipécacuanha
étamine de laine,étamine de laine
eau de senteur,eau de senteur
eau minérale,eau minérale
épicerie cannelle,épicerie cannelle
étoffe de filoselle,étoffe de filoselle
étoffe de soie or et argent,étoffe de soie or et argent
étoffe mêlée de soie mi soie,étoffe mêlée de soie mi soie
étoffe mêlée de soie tripe de velours,étoffe mêlée de soie tripe de velours
éventails,éventails
éventails d'ivoire,éventails d'ivoire
