name_orthographic,lowercase_name
cuirs de bœuf tannés,cuirs de bœuf tannés
morue sèche,morue sèche
peaux de mouton apprêtées,peaux de mouton apprêtées
toile à voile,toile à voile
plumes d'autruche apprêtées,plumes d'autruche apprêtées
cannettes de grès,cannettes de grès
merrains à barriques,merrains à barriques
poêles à frire,poêles à frire
bois merrains à barriques,bois merrains à barriques
dame-jeannes,dame-jeannes
fer en poêles à frire,fer en poêles à frire
peaux de veau corroyées,peaux de veau corroyées
toile guingans,toile guingans
bois du Brésil,bois du brésil
bois de Pernambouc,bois de pernambouc
huile d'olive,huile d'olive
merrains à barriques en douelles,merrains à barriques en douelles
bois de Campêche,bois de campêche
cuirs de bœuf en poil,cuirs de bœuf en poil
harengs saurs,harengs saurs
marchandises mêlées,marchandises mêlées
peaux de veau apprêtées,peaux de veau apprêtées
bourre à bâtier,bourre à bâtier
toile d'emballage,toile d'emballage
bois de Sainte-Marthe,bois de sainte-marthe
poterie de grès,poterie de grès
dents d'éléphant,dents d'éléphant
eau de la reine de Hongrie,eau de la reine de hongrie
peaux de veau tannées,peaux de veau tannées
pelleterie apprêtée,pelleterie apprêtée
harengs blancs,harengs blancs
peaux de chèvre apprêtées,peaux de chèvre apprêtées
toile de coton,toile de coton
cornes à lanternes,cornes à lanternes
térébenthine,térébenthine
toile batiste,toile batiste
bois à brûler,bois à brûler
cassia lignea,cassia lignea
cuirs de Russie,cuirs de russie
meules à aiguiser,meules à aiguiser
baume de Copahu,baume de copahu
cuirs de vache tannés,cuirs de vache tannés
gomme adragant,gomme adragant
huile de térébenthine,huile de térébenthine
racines d'alizari,racines d'alizari
sel d'Epsom,sel d'epsom
écaille de tortue,écaille de tortue
cuirs de vache corroyés,cuirs de vache corroyés
étoffe de soie,étoffe de soie
fer en tôle,fer en tôle
gomme du Sénégal,gomme du sénégal
graine de genièvre,graine de genièvre
pierres à fusils,pierres à fusils
bœuf salé,bœuf salé
bois merrains à barriques en douelles,bois merrains à barriques en douelles
chapeaux demi castor,chapeaux demi castor
cuirs de génisse corroyés,cuirs de génisse corroyés
cuirs tannés,cuirs tannés
étain ouvré,étain ouvré
fil de laiton,fil de laiton
guingans,guingans
neganepeau,neganepeau
pipes à fumer,pipes à fumer
toile serpillière,toile serpillière
verres cristallins,verres cristallins
bois merrains à pipes,bois merrains à pipes
coton filé,coton filé
faux à faucher,faux à faucher
gomme élémi,gomme élémi
merrains à pipes,merrains à pipes
chapeaux mi castor,chapeaux mi castor
coque du Levant,coque du levant
fromage de Hollande,fromage de hollande
Guinée bleue,guinée bleue
huile de poisson,huile de poisson
moulins à café,moulins à café
nattes de jonc,nattes de jonc
pierres à aiguiser,pierres à aiguiser
toile à carreaux,toile à carreaux
basanes tannées,basanes tannées
chaises de commodité,chaises de commodité
chapeaux à nègre,chapeaux à nègre
stockfish,stockfish
merrains fonçaille,merrains fonçaille
meules à taillandier,meules à taillandier
morue verte,morue verte
nicaneas,nicaneas
toile platille,toile platille
yeux d'écrevisses,yeux d'écrevisses
baleine coupée,baleine coupée
bois de simarouba,bois de simarouba
merrains à pipes en douelles,merrains à pipes en douelles
bouchons de liège,bouchons de liège
ipécacuanha,ipécacuanha
fromage de Gruyère,fromage de gruyère
meules à coutelier,meules à coutelier
planches de chêne,planches de chêne
vin de Xérès,vin de xérès
blé froment,blé froment
boîtes de bergamotes,boîtes de bergamotes
bois merrains à fonds,bois merrains à fonds
chanvre cru,chanvre cru
dentelle du Puy,dentelle du puy
étoffe au quart de soie,étoffe au quart de soie
fer en barres,fer en barres
fruits à l'eau-de-vie,fruits à l'eau-de-vie
graine de trèfle,graine de trèfle
mouchoirs de romals,mouchoirs de romals
peaux de loup cervier,peaux de loup cervier
pierres à faux,pierres à faux
pois verts,pois verts
raisin sec,raisin sec
soie apprêtée,soie apprêtée
toile de Bretagne,toile de bretagne
toile de Saintonge,toile de saintonge
verres à vitre,verres à vitre
baleine en fanon,baleine en fanon
bois de Caliatour,bois de caliatour
café des Îles,café des îles
chair salée,chair salée
drap de Louviers,drap de louviers
fil à voile,fil à voile
fruits crus,fruits crus
peaux de chevreuil,peaux de chevreuil
peaux de martre,peaux de martre
pelleterie commune,pelleterie commune
saumon salé,saumon salé
toile de Bretagne étroite,toile de bretagne étroite
toile de chanvre,toile de chanvre
toile diverse,toile diverse
toile peinte,toile peinte
verres à boire,verres à boire
bois d'ébène,bois d'ébène
bois merrains,bois merrains
bordage de chêne,bordage de chêne
clous de fer,clous de fer
eau de fleurs d'orange,eau de fleurs d'orange
espars,espars
fil à sennes,fil à sennes
filets à pêcher,filets à pêcher
laque plate,laque plate
mouchoirs de Pondichéry,mouchoirs de pondichéry
peignes de buis,peignes de buis
plomb en saumon,plomb en saumon
plumes à écrire,plumes à écrire
plumes d'autruche brutes,plumes d'autruche brutes
poivre giroflé,poivre giroflé
rogues de stockfish,rogues de stockfish
rogues de morue,rogues de morue
toile caissie,toile caissie
toile de lin de Saint-Quentin,toile de lin de saint-quentin
toile de lin diverse,toile de lin diverse
toile d'étoupes,toile d'étoupes
toile royale,toile royale
vieux oint,vieux oint
vin de Chypre,vin de chypre
bourre de bœuf,bourre de bœuf
canefice,canefice
cordage d'espars,cordage d'espars
cornes de bœuf,cornes de bœuf
corot,corot
crème de tartre,crème de tartre
pâte d'amandes,pâte d'amandes
pain d'épice,pain d'épice
planches de Prusse,planches de prusse
planches de sapin,planches de sapin
pierres d'émeri,pierres d'émeri
poudre à poudrer,poudre à poudrer
toile blanche,toile blanche
toile de Hollande,toile de hollande
bois de Campêche en bûches,bois de campêche en bûches
cendre gravelée,cendre gravelée
cercles à tonneaux,cercles à tonneaux
cirsaca,cirsaca
cire jaune,cire jaune
coton en laine,coton en laine
contra yerba,contra yerba
dents de morphil,dents de morphil
douelles à tonneaux,douelles à tonneaux
eau-de-vie d'Hendaye,eau-de-vie d'hendaye
fleurs de soufre,fleurs de soufre
graine de jardin,graine de jardin
haches houes et serpes,haches houes et serpes
inde plate,inde plate
liège en planches,liège en planches
peaux de maroquins,peaux de maroquins
pierres ponce,pierres ponce
plumes à lit,plumes à lit
poterie de grès barbançons,poterie de grès barbançons
quincaille de fer et acier,quincaille de fer et acier
rave de morue,rave de morue
toile killis,toile killis
ustensiles de pêche,ustensiles de pêche
aiguilles à coudre,aiguilles à coudre
amandes cassées,amandes cassées
armes à feu fusils,armes à feu fusils
asa foetida,asa foetida
balais de palme,balais de palme
barriques vides,barriques vides
bonneterie de laine,bonneterie de laine
bourre de soie,bourre de soie
cartes à jouer,cartes à jouer
chanvre peigné,chanvre peigné
couteaux flamands,couteaux flamands
drap d'Abbeville,drap d'abbeville
drap d'Elbeuf,drap d'elbeuf
drap écarlate,drap écarlate
fer-blanc,fer-blanc
guingans de Pondichéry,guingans de pondichéry
gaze de soie,gaze de soie
gomme sandarac,gomme sandarac
huile de lin,huile de lin
lignes à pêcher,lignes à pêcher
orge mondé,orge mondé
papier Gênes fin,papier gênes fin
peaux d'orignal,peaux d'orignal
pelleterie du Canada,pelleterie du canada
poisson salé,poisson salé
rouets à filer,rouets à filer
sennes à pêcher,sennes à pêcher
suif en chandelle,suif en chandelle
tabac en feuilles,tabac en feuilles
toile cirée,toile cirée
toile de Bretagne d'Olonne,toile de bretagne d'olonne
toile de Bretagne rosconne,toile de bretagne rosconne
toile de coton des Indes,toile de coton des indes
toile de lin blanche,toile de lin blanche
toile de ménage,toile de ménage
toile siamoise,toile siamoise
bas de soie,bas de soie
bois de gaïac,bois de gaïac
bourses à cheveux,bourses à cheveux
brai sec,brai sec
charbon de terre,charbon de terre
chardons à drapier,chardons à drapier
cordeillat,cordeillat
couvertures de laine,couvertures de laine
gants de peau,gants de peau
goudron,goudron
gomme copale,gomme copale
herbes pérelle,herbes pérelle
huile de girofle,huile de girofle
laine filée,laine filée
mercerie mêlée,mercerie mêlée
meules à moulins,meules à moulins
mouchoirs de Bengale,mouchoirs de bengale
papier à bulle blanc,papier à bulle blanc
peaux de mouton en laine,peaux de mouton en laine
peaux de veau en poil,peaux de veau en poil
pierres à rasoirs,pierres à rasoirs
rets à pêcher,rets à pêcher
ruban de soie,ruban de soie
sucre terré,sucre terré
toile Cholet,toile cholet
toile coutil,toile coutil
toile beurrière,toile beurrière
toile de Bretagne large,toile de bretagne large
toile de Bretagne de Fougères,toile de bretagne de fougères
toile de Bretagne de Languenan,toile de bretagne de languenan
toile de Bretagne gratienne,toile de bretagne gratienne
toile de lin,toile de lin
???,???
aiguilles à voile,aiguilles à voile
balais de jonc,balais de jonc
barils vides,barils vides
blé maïs,blé maïs
bois de Campêche râpé,bois de campêche râpé
bois de Caliatour moulu,bois de caliatour moulu
bois merrains à pipes en douelles,bois merrains à pipes en douelles
bonnets de coton,bonnets de coton
brai gras,brai gras
café du Levant,café du levant
callemande,callemande
cannes à main,cannes à main
chaises de paille,chaises de paille
chemises à nègre,chemises à nègre
couffes à boulanger,couffes à boulanger
cuirs de bœuf apprêtés,cuirs de bœuf apprêtés
cuivre ouvré,cuivre ouvré
dentelle de soie,dentelle de soie
drogues d'apothicaire,drogues d'apothicaire
drap de Carcassonne,drap de carcassonne
fil à coudre,fil à coudre
fil à rets,fil à rets
fil d'étoupes,fil d'étoupes
filets d'espars,filets d'espars
graine de vers à soie,graine de vers à soie
herbes capillaire,herbes capillaire
huile de Copahu,huile de copahu
huile de morue,huile de morue
huile de navette,huile de navette
huile de rabette,huile de rabette
laine de Ségovie,laine de ségovie
laiton gratté,laiton gratté
langues de bœuf,langues de bœuf
langues salées,langues salées
merrains à barriques douelles,merrains à barriques douelles
mèches à canons,mèches à canons
mouchoirs de soie,mouchoirs de soie
papier à écrire,papier à écrire
peaux de chèvre,peaux de chèvre
peaux d'agneau apprêtées,peaux d'agneau apprêtées
peaux de chèvre en poil,peaux de chèvre en poil
peaux de loup de bois,peaux de loup de bois
peaux de mouton passées,peaux de mouton passées
pignons d'épines,pignons d'épines
plomb en grenaille,plomb en grenaille
salemporis bleu,salemporis bleu
sucre têtes,sucre têtes
soie crue,soie crue
tabac du Brésil,tabac du brésil
toile à matelas,toile à matelas
toile d'aman,toile d'aman
toile de Bretagne à voile,toile de bretagne à voile
toile de Bretagne de ménage,toile de bretagne de ménage
toile de Bretagne de Morlaix,toile de bretagne de morlaix
toile de Bretagne entre large,toile de bretagne entre large
toile de coton diverse,toile de coton diverse
toile de halle,toile de halle
toile étrangère,toile étrangère
toile linge de tables,toile linge de tables
vin des Canaries,vin des canaries
vitriol de Chypre,vitriol de chypre
barriques vieilles vides,barriques vieilles vides
bœuf fumé,bœuf fumé
blé seigle,blé seigle
bois de buis,bois de buis
bois de santal moulu,bois de santal moulu
bois espars,bois espars
bourre du Levant,bourre du levant
bouteilles de verre,bouteilles de verre
carreaux de verre à vitre,carreaux de verre à vitre
café de Moka,café de moka
cendre potasse,cendre potasse
céruse,céruse
chapeaux castor,chapeaux castor
chapeaux poil et laine,chapeaux poil et laine
cochon salé,cochon salé
cuirs secs en poil,cuirs secs en poil
cuirs verts en poil,cuirs verts en poil
cuivre en feuilles,cuivre en feuilles
drap cordeillat,drap cordeillat
drap de Van Robais,drap de van robais
drogues médicinales manne,drogues médicinales manne
eau de mélisse,eau de mélisse
epousterie,epousterie
étain en bloc,étain en bloc
fer de fonte ouvré,fer de fonte ouvré
galon d'argent,galon d'argent
jais,jais
lames d'épée,lames d'épée
langues de morue,langues de morue
liège en bouchons,liège en bouchons
mouchoirs de toile Cholet,mouchoirs de toile cholet
noir de fumée,noir de fumée
peaux d'agneau,peaux d'agneau
peaux de loup marin,peaux de loup marin
pierres à bâtir,pierres à bâtir
poêles de fer,poêles de fer
quincaille de fer,quincaille de fer
salemporis,salemporis
sassafras,sassafras
sapin à faire échelles,sapin à faire échelles
sapin à faire pioches,sapin à faire pioches
sel ammoniac,sel ammoniac
toile commune,toile commune
toile d'Allemagne,toile d'allemagne
toile de Bretagne à carreaux,toile de bretagne à carreaux
toile de Bretagne crée large,toile de bretagne crée large
toile de Bretagne de halle,toile de bretagne de halle
toile écrue,toile écrue
toile linge de tables serviettes,toile linge de tables serviettes
verres à boire communs,verres à boire communs
verres cassés,verres cassés
vin de liqueurs,vin de liqueurs
amandes en coque,amandes en coque
baume du Pérou,baume du pérou
beurre salé,beurre salé
blanc de céruse,blanc de céruse
blé d'Inde,blé d'inde
bois à bâtir,bois à bâtir
bois de Campêche moulu,bois de campêche moulu
cocons de soie,cocons de soie
carreaux de pierre,carreaux de pierre
cendre d'orfèvre,cendre d'orfèvre
colle de poisson,colle de poisson
cordouans,cordouans
cuirs de cheval tannés,cuirs de cheval tannés
cuivre tangoul,cuivre tangoul
cuisses d'oie,cuisses d'oie
cuivre en planches,cuivre en planches
cuivre en rosette,cuivre en rosette
dame-jeannes de verre,dame-jeannes de verre
dentelle de fil,dentelle de fil
douelles à barriques,douelles à barriques
drap de Silésie,drap de silésie
draperie petite,draperie petite
drogues médicinales séné,drogues médicinales séné
écaille de cahouanne,écaille de cahouanne
escayolles,escayolles
esprit de bergamote,esprit de bergamote
étoffe mi soie,étoffe mi soie
fer en plaques,fer en plaques
fer ouvré,fer ouvré
fil de caret,fil de caret
filets pour la pêche,filets pour la pêche
follicule de séné,follicule de séné
forme de terre à sucre,forme de terre à sucre
fottes,fottes
graine de lin,graine de lin
girofle,girofle
gomme ammoniac,gomme ammoniac
gomme laque,gomme laque
huile de baleine,huile de baleine
huile de graine,huile de graine
joncs à faire chaises,joncs à faire chaises
laine de chevrons,laine de chevrons
laine de Carmenie,laine de carmenie
laiton en feuilles,laiton en feuilles
